0% quantile: LV Network: 1101,25% quantile: LV Network: 1101,50% quantile: LV Network: 1101,75% quantile: LV Network: 1101,100% quantile: LV Network: 1101,0% quantile: LV Network: 1122,25% quantile: LV Network: 1122,50% quantile: LV Network: 1122,75% quantile: LV Network: 1122,100% quantile: LV Network: 1122,0% quantile: LV Network: 1152,25% quantile: LV Network: 1152,50% quantile: LV Network: 1152,75% quantile: LV Network: 1152,100% quantile: LV Network: 1152,0% quantile: LV Network: 1200,25% quantile: LV Network: 1200,50% quantile: LV Network: 1200,75% quantile: LV Network: 1200,100% quantile: LV Network: 1200,0% quantile: LV Network: 1450,25% quantile: LV Network: 1450,50% quantile: LV Network: 1450,75% quantile: LV Network: 1450,100% quantile: LV Network: 1450
1.015816512250077297e+00,1.055751804690717055e+00,1.067609649290683471e+00,1.080880842531467767e+00,1.100734316018363579e+00,1.069872587753100790e+00,1.070063150511240346e+00,1.072649193446625127e+00,1.075227118963727024e+00,1.075393329467017045e+00,9.993870815680402364e-01,1.025453175687227825e+00,1.033557138816809884e+00,1.038265929405585153e+00,1.043885200903476029e+00,1.032051960054938933e+00,1.039007119836193205e+00,1.047795844630620810e+00,1.048566099777434202e+00,1.048835180826905633e+00,1.042968237515139229e+00,1.043311390994631216e+00,1.043498462884951072e+00,1.044109953039014105e+00,1.044480935103476726e+00
1.010115644860483108e+00,1.040728871675087541e+00,1.054139788452392201e+00,1.068412832067865192e+00,1.088002802535338320e+00,1.059810813290631870e+00,1.060004913402007753e+00,1.062595851180898610e+00,1.065179110189286016e+00,1.065350173989151550e+00,9.849515331856458777e-01,1.012368627414818478e+00,1.019932526153510599e+00,1.023630615321443615e+00,1.032509760361409734e+00,1.013671788306142130e+00,1.020125360487350363e+00,1.036006197687937780e+00,1.036608062123886898e+00,1.036924254304964599e+00,1.029707464868631961e+00,1.030051310741775250e+00,1.030234713265724800e+00,1.030970533227253849e+00,1.031355670605328401e+00
1.010953370698798759e+00,1.042868800783244732e+00,1.056364678334315022e+00,1.065447915998790851e+00,1.080232964497075177e+00,1.061421310360874060e+00,1.061658607301801283e+00,1.063919618663959676e+00,1.066161189954322630e+00,1.066340166679862866e+00,9.430359858001264861e-01,1.008472404219461271e+00,1.017382388181812258e+00,1.025423938119777612e+00,1.032841579448563696e+00,1.016207413493470879e+00,1.023458153845726137e+00,1.029943453852037782e+00,1.037346155520163959e+00,1.037766912805601516e+00,1.013785745374542246e+00,1.018754290713713484e+00,1.031703337212319216e+00,1.034432335430267580e+00,1.034841146147718716e+00
1.031690031758423665e+00,1.059085804820177668e+00,1.065271632569697591e+00,1.073610793480031633e+00,1.087619863510723706e+00,1.069855550934303068e+00,1.070087553552283133e+00,1.072298561788398441e+00,1.074489261250593408e+00,1.074660337546812894e+00,9.554786333217100136e-01,1.018321965283028208e+00,1.027896638534772977e+00,1.035176733803532700e+00,1.042483697061701742e+00,1.026569825984995576e+00,1.033750890702597847e+00,1.040285720030627026e+00,1.047507939200100102e+00,1.047905642226948597e+00,1.023507490252076213e+00,1.028917830305813519e+00,1.041654755597761106e+00,1.045316897838771242e+00,1.045685861475745826e+00
1.029799336280393884e+00,1.048693415186686684e+00,1.059017639015368939e+00,1.064214232918756275e+00,1.080889159575758818e+00,1.062688361548382199e+00,1.062897102103640190e+00,1.065040132775748161e+00,1.067171626896434411e+00,1.067345757797427908e+00,9.273123663367429659e-01,1.014026965480997244e+00,1.025199657139147513e+00,1.032170409565730473e+00,1.036474733145467342e+00,1.020242262553513246e+00,1.027467851361116846e+00,1.031555691918247808e+00,1.041461247852165872e+00,1.041872432860526443e+00,1.027191303580568649e+00,1.029391963164361323e+00,1.035944583806521102e+00,1.038508906892224193e+00,1.038945363428873447e+00
1.034624675332030730e+00,1.057175434092777477e+00,1.069042535136502492e+00,1.073898759974610595e+00,1.087446967582097024e+00,1.071499540859218502e+00,1.071702193931646230e+00,1.073679510899721912e+00,1.075644090001551811e+00,1.075808529475241304e+00,9.483996552945060943e-01,1.025862342817983608e+00,1.038352467843406846e+00,1.045047586117332061e+00,1.047965674659004254e+00,1.031306506136056456e+00,1.038435334440700908e+00,1.042519269771955193e+00,1.052779502209391538e+00,1.053166324890910444e+00,1.030909477846580602e+00,1.036996677801600653e+00,1.045486061829107971e+00,1.047973888297531131e+00,1.048466446522216211e+00
1.044748691682379382e+00,1.064173933364073843e+00,1.073511251346645601e+00,1.077991917632616925e+00,1.087698141746852309e+00,1.073380642022147002e+00,1.073603740100216086e+00,1.075436055956807024e+00,1.077255287128855876e+00,1.077439131153298923e+00,9.573006333786063804e-01,1.026463416548058838e+00,1.039200259756636324e+00,1.046560229762949934e+00,1.050268381475040869e+00,1.033531202373174640e+00,1.038268036719194987e+00,1.041308349206745199e+00,1.054783032500095752e+00,1.054895560151538847e+00,1.036946437641192986e+00,1.043943914763828307e+00,1.044063584390714450e+00,1.050163468965910729e+00,1.051051609906497930e+00
1.040506800027700240e+00,1.062098000264580122e+00,1.072323167324095827e+00,1.075976800755761520e+00,1.084893033418590669e+00,1.071292603666058829e+00,1.071510150667305039e+00,1.073219297423611440e+00,1.074913543248424919e+00,1.075086387455192138e+00,9.753322401505311046e-01,1.026250583949021689e+00,1.041728073479705197e+00,1.046227156660473279e+00,1.051294811254945616e+00,1.033353637810989101e+00,1.038120924554025715e+00,1.041116332579353321e+00,1.054926194482165958e+00,1.055063715314396022e+00,1.042540434194922927e+00,1.044986079804474333e+00,1.046841719593097464e+00,1.050706159012266827e+00,1.051654117917195874e+00
1.046482310028456597e+00,1.069487208991055205e+00,1.076011069932984787e+00,1.080648727936572850e+00,1.088037616453738421e+00,1.073041940498550950e+00,1.073297920728381039e+00,1.075878966781329105e+00,1.078438868111197824e+00,1.078631414171789649e+00,9.868681570407226156e-01,1.040860030650502921e+00,1.049968016073969057e+00,1.053258247466827502e+00,1.058230885430714086e+00,1.042049358633435174e+00,1.046846443768151946e+00,1.048916826374696409e+00,1.059124122415414204e+00,1.059238722949547906e+00,1.053184890364012860e+00,1.053586890133506149e+00,1.053929805736320446e+00,1.055101206506760425e+00,1.055633545211064117e+00
1.039169269063296541e+00,1.066781114947720877e+00,1.070293453388428073e+00,1.072773321744865616e+00,1.077489380344982983e+00,1.064118073689244159e+00,1.064384339473359198e+00,1.067374376688257964e+00,1.070345479473950423e+00,1.070554941970447871e+00,9.898898084600991076e-01,1.030161448628994947e+00,1.043822380660153870e+00,1.046144537831886767e+00,1.053249154131908227e+00,1.040803589663211071e+00,1.042812682311656358e+00,1.043318409176109629e+00,1.050521779507262776e+00,1.050973691479611505e+00,1.046760568779723011e+00,1.047373699964828209e+00,1.047525518004087441e+00,1.048702580705077381e+00,1.049255237366382598e+00
