MV voltage: 0.0% quantile,MV voltage: 25.0% quantile,MV voltage: 50.0% quantile,MV voltage: 75.0% quantile,MV voltage: 100.0% quantile
9.983071452616026908e-01,1.002250726323690388e+00,1.007407435748651547e+00,1.013990585140815526e+00,1.045436918003299853e+00
9.853390517474954757e-01,9.896168888889337323e-01,9.955105895724605247e-01,1.002627829261237613e+00,1.037019849037048136e+00
9.871227857130787653e-01,9.911652935033856693e-01,9.965048085181971160e-01,1.004137638923538800e+00,1.037995298442811354e+00
9.976084925404735682e-01,1.001449024787333331e+00,1.006297771266546182e+00,1.013304611697915636e+00,1.044727598440953642e+00
9.916926119304617648e-01,9.955517309005110782e-01,1.000087375815914337e+00,1.007097975075701646e+00,1.037708371289471687e+00
1.002981772642366431e+00,1.006359822245735502e+00,1.010438146037734519e+00,1.016898418094852818e+00,1.044921719279663153e+00
1.005788939976785423e+00,1.009162770650863017e+00,1.012907981608115460e+00,1.019370787259864297e+00,1.046767613302580946e+00
1.006496416528754212e+00,1.009570442754990749e+00,1.012741419949350519e+00,1.018816166817299029e+00,1.043525954696329361e+00
1.011213034463965155e+00,1.013928695303576433e+00,1.017169391071790940e+00,1.022530790102933906e+00,1.046056158043704665e+00
1.004647162193491150e+00,1.007023512229753059e+00,1.010054086730019840e+00,1.015309659046550905e+00,1.037819661180892084e+00
1.007351666298321069e+00,1.009904033421410219e+00,1.013224709332045670e+00,1.018862139468518002e+00,1.043366514202712647e+00
1.002652366908359793e+00,1.005046852860709272e+00,1.008214342019097209e+00,1.013614617410106611e+00,1.036709194929549716e+00
1.002606292785589881e+00,1.005531719162001236e+00,1.009404358787744593e+00,1.016021457064339550e+00,1.044130728278171549e+00
9.941161286379236461e-01,9.973850467975579059e-01,1.001364451462079641e+00,1.008803632757916846e+00,1.038892389812453132e+00
9.823854967623844026e-01,9.858733786847859726e-01,9.905967050085313641e-01,9.989923468467016843e-01,1.034013783823345856e+00
9.870251182123677136e-01,9.903434457086661702e-01,9.948609218932940035e-01,1.003103781904824077e+00,1.036918157368304616e+00
1.000456889120020731e+00,1.003699975406575184e+00,1.007765882998817641e+00,1.015146870058733386e+00,1.045903342012233228e+00
1.001130209325800990e+00,1.004308690834375684e+00,1.008241309558778109e+00,1.015727699812730922e+00,1.046494220058003410e+00
1.001827093726428863e+00,1.004399390536500070e+00,1.007591506395039360e+00,1.014031233960912770e+00,1.039749438249693902e+00
1.006316821467128086e+00,1.008821767233281097e+00,1.011830999852037616e+00,1.017868336467199430e+00,1.042493973360772097e+00
1.002063163484372632e+00,1.004883134464542804e+00,1.008133042847065397e+00,1.014478431843761852e+00,1.040060254335154255e+00
1.003350692643440345e+00,1.006218124149949489e+00,1.009566167879530019e+00,1.015757782455211977e+00,1.041018310302141758e+00
1.006236293755980782e+00,1.009134479401746276e+00,1.012395949219420554e+00,1.018264306656020191e+00,1.042907109627007722e+00
1.006278415336814280e+00,1.009240681833959430e+00,1.012558101366353602e+00,1.018398399439903956e+00,1.043100229875152385e+00
1.000235456860039562e+00,1.003166619033862617e+00,1.006845177651113588e+00,1.013097354622960022e+00,1.039172197923346586e+00
1.001577091184772561e+00,1.004334023575318646e+00,1.007897962697808181e+00,1.013998161291121303e+00,1.039666650063802766e+00
9.990144698615880392e-01,1.001818796713762838e+00,1.005526253138692816e+00,1.011751711001757537e+00,1.038123196683560234e+00
9.937005622632929525e-01,9.969289422874856310e-01,1.000724369795087831e+00,1.007392216204389124e+00,1.035036479001510079e+00
1.000470407773356385e+00,1.003733035303578935e+00,1.007515943623806365e+00,1.014580542249142514e+00,1.043151516394616563e+00
9.984946969143861928e-01,1.001755152685003480e+00,1.005699559438562929e+00,1.012885639779304014e+00,1.042057068147185017e+00
9.949037797061096589e-01,9.984760441858709923e-01,1.002412164479408618e+00,1.009710176323151520e+00,1.039805643921028144e+00
9.914769107462602094e-01,9.952412387038482855e-01,9.992492442616993653e-01,1.006925032148471733e+00,1.037797446708251803e+00
9.851185019527222142e-01,9.897398496492634257e-01,9.949734281066152652e-01,1.004371022426936655e+00,1.043094153410811797e+00
9.773974531605761351e-01,9.819486941856189199e-01,9.875798066955223664e-01,9.972551723567188997e-01,1.037458974848044280e+00
9.715451128308788542e-01,9.765775160978225067e-01,9.841915152703264447e-01,9.944908521777675592e-01,1.042734201846277298e+00
9.668090618483581311e-01,9.720274707646617829e-01,9.796273668034276572e-01,9.904295173035946309e-01,1.039498750448650588e+00
9.594061080900699867e-01,9.649188898161995542e-01,9.727618981078647309e-01,9.842783571063613568e-01,1.036115020180016222e+00
9.577806105387307589e-01,9.633063486674170450e-01,9.713501027436219903e-01,9.827055071033233835e-01,1.034891979446473931e+00
9.683876843848177041e-01,9.737257080819314847e-01,9.811533332095779825e-01,9.922721171268644724e-01,1.041050628673838352e+00
9.699087817036475823e-01,9.753091478612693210e-01,9.825362890310461728e-01,9.937148266883346626e-01,1.042166169929538366e+00
9.788693430075647850e-01,9.837882789549382556e-01,9.901216506987113863e-01,1.000742066722301704e+00,1.045626538388716886e+00
