Prmy. Sub. Util.,Sdry. Sub. Util.1101 (800 kVA),Sdry. Sub. Util.1122 (25 kVA),Sdry. Sub. Util.1152 (800 kVA),Sdry. Sub. Util.1200 (100 kVA),Sdry. Sub. Util.1450 (100 kVA)
8.644817763269119837e+01,3.386534031964767877e+01,1.045871948510449023e+01,4.533721101804376019e+01,2.246496528933553805e+01,1.022686789990545542e+01
9.477865498420054280e+01,3.711279984956147615e+01,1.060255203153401382e+01,4.673833002139876669e+01,2.767515307094245713e+01,1.036780733253037923e+01
9.371177921351232953e+01,3.858008472020843982e+01,1.072656444694458777e+01,5.200716521477007603e+01,3.398780695604830271e+01,2.198537989213365407e+01
8.692339746278518930e+01,3.462673680717772129e+01,1.043933576726320922e+01,4.982659220477047768e+01,3.381834693976746564e+01,2.327978752671435458e+01
8.384412685980760216e+01,3.527402803121692187e+01,1.055808121288788648e+01,4.604953855779447025e+01,3.480796622553205566e+01,1.660786812498305665e+01
7.632337033235404533e+01,3.305722778142151697e+01,1.019261179459069666e+01,4.232914741070819531e+01,3.443131835537410979e+01,2.379375567410028580e+01
7.438368292709857599e+01,2.922159174847940477e+01,1.098229239587237238e+01,4.283811179392058222e+01,4.242301288486774524e+01,2.453067556216309697e+01
6.655464257948590046e+01,2.665859906278987168e+01,1.048318679199777925e+01,3.948359262961896832e+01,4.191275934986613549e+01,2.143485145728332242e+01
6.335260805953561913e+01,2.498488592812610420e+01,1.184742489828015088e+01,3.299560998277640778e+01,3.408954110651996672e+01,1.470564387835996456e+01
6.059740714439767117e+01,2.178032542458382181e+01,1.252682564037063884e+01,3.146316940594235234e+01,2.834281342435839335e+01,1.199234774410348159e+01
6.631746007356571226e+01,2.467557611147534757e+01,1.371952906242766446e+01,3.182720872273791102e+01,3.025114560893295845e+01,1.632410581379129866e+01
6.204411693834253327e+01,2.287414627945696211e+01,1.318546109621425266e+01,2.903810964147304574e+01,2.430955933083387777e+01,1.561396622163978165e+01
7.697007223674629017e+01,3.087024816950578199e+01,2.657437010336491667e+01,3.630575018117367136e+01,3.236124653224076297e+01,2.302031128199737253e+01
8.261213376772508354e+01,3.629704057286808450e+01,2.853705162287089436e+01,4.283654423465000605e+01,3.139453038500629134e+01,3.274031051137358617e+01
9.724708207402308346e+01,4.015168776749718660e+01,2.882027972563759377e+01,4.938357310371464592e+01,3.033809494752184932e+01,3.290608001793591342e+01
9.435230885666032918e+01,4.063685784165518555e+01,2.842788033295595440e+01,4.945078563531770754e+01,2.992453765117162590e+01,3.254745273398992822e+01
8.555379836818450201e+01,3.524473699764726575e+01,2.288092187328274107e+01,4.473130933878616133e+01,2.729967814829784700e+01,2.181031823930292290e+01
8.513598991057480703e+01,3.510321769162610650e+01,2.309456302634408686e+01,4.765382781619442198e+01,2.843091191445865817e+01,2.202238880594958559e+01
7.030469170120464639e+01,2.916053155529652940e+01,2.005932861947885826e+01,3.860458571152995688e+01,2.230073646015230082e+01,2.386612915743609520e+01
6.712445564823262600e+01,2.891216234197808888e+01,1.877255233775724363e+01,3.925835346779977897e+01,2.091974258097168615e+01,2.275139476312357445e+01
6.996852869778787465e+01,2.796983790250316915e+01,1.855164466189738803e+01,4.002008926326562488e+01,2.241580956722988205e+01,2.019920681461696077e+01
6.898319069381663837e+01,3.192129189446840343e+01,1.809882127547080088e+01,3.903732231748033854e+01,2.192762576338991209e+01,2.299416709317825180e+01
6.689300703723372976e+01,3.257110233648115383e+01,1.713870826646425272e+01,3.570734430285276062e+01,2.199898415808892338e+01,2.384638771869161999e+01
6.679395501733364426e+01,3.200114344562946656e+01,1.687464111009103362e+01,3.401855527508749333e+01,2.171221140323502752e+01,2.381272051366373788e+01
7.110262007444906374e+01,3.303141196199817387e+01,1.502946805806268493e+01,3.567298522435817887e+01,2.525648540600025527e+01,2.978223334440778558e+01
7.029981737198954761e+01,3.571892747870813878e+01,4.219355904469394147e+01,3.832806369199780505e+01,2.466747492826298327e+01,2.953268907139347732e+01
7.205827121601950580e+01,3.451196492519820680e+01,4.353278358647974500e+01,4.041547502833820005e+01,2.443851496660566980e+01,3.141736988432549893e+01
7.559930829398228980e+01,3.378331625475603062e+01,4.414594863366546917e+01,4.085994172372047473e+01,2.760327690311899929e+01,2.592604790071018783e+01
7.822942011650295058e+01,3.715664319886695210e+01,1.515298070269695430e+01,4.391764135872333696e+01,2.211190130729609749e+01,2.568373980259493550e+01
7.953848677087979979e+01,3.653968949035603231e+01,1.512773518169698939e+01,4.355349384455465156e+01,2.893692898144981740e+01,3.112909040870853872e+01
8.189064786585329614e+01,3.867356434726424652e+01,1.870903874211295204e+01,4.707868838328344907e+01,2.950339531287416150e+01,3.288635634041588673e+01
8.407907597892922524e+01,4.041565924135883137e+01,1.868289479444834456e+01,5.071460352573412678e+01,2.842878535855066602e+01,3.676195027421951522e+01
1.081065450635263687e+02,4.861979565728821484e+01,3.110224963007429011e+01,6.216998443254860263e+01,3.797778381040433970e+01,3.228765882748850657e+01
1.127926485464838464e+02,4.748729761292186424e+01,3.148432462924587227e+01,6.431418258883680039e+01,4.098564701000076838e+01,3.288952546375643493e+01
1.396498951084346061e+02,5.923654349176036504e+01,2.604044266988563194e+01,7.253819393033795393e+01,4.603265014554197165e+01,4.768715060056925381e+01
1.420574942680635786e+02,6.163748432450088899e+01,2.581593721794951435e+01,7.721940641930919469e+01,5.037594629597253260e+01,5.217910937110556802e+01
1.513338687195053467e+02,6.625335303153732980e+01,3.767363727604037393e+01,8.378919778949652652e+01,4.420581832046234183e+01,5.079066148140331904e+01
1.521546497274050012e+02,6.623821451471944499e+01,3.750244982074855926e+01,8.707419993913572398e+01,3.963527479852564284e+01,5.064328036975509661e+01
1.411551586747008287e+02,6.049588028915370330e+01,2.817542358926298718e+01,8.172626146436496697e+01,3.402128482184610903e+01,4.862682678281728954e+01
1.403018759396530868e+02,6.011489802127470483e+01,2.788083750061641197e+01,8.266543135032435430e+01,3.729961275010595756e+01,4.868074820001575631e+01
1.298713802291452168e+02,5.783585233701123229e+01,2.766876904030903361e+01,8.165307800716958297e+01,4.314553494162572633e+01,5.139183055283755408e+01
1.293822427558154970e+02,5.937119679304498021e+01,5.735778653546189076e+01,8.159077524254750813e+01,5.065951909153036326e+01,5.355204405180739968e+01
1.199048098957393336e+02,6.084242071677531527e+01,4.189180839698788361e+01,8.005739742021363270e+01,5.097388995232462605e+01,4.274754849042183480e+01
1.137658288070104362e+02,5.801761843447179956e+01,2.808710566787843277e+01,7.367659459861319249e+01,4.272531684510695982e+01,3.076071747808989443e+01
9.884593980144573777e+01,4.766154212807817458e+01,2.159160070195163428e+01,5.940031136860251593e+01,3.812088660902251291e+01,2.203124512721200645e+01
9.135829767090369558e+01,4.262519562706492593e+01,1.724298255885087627e+01,5.312247577462453307e+01,3.071359182967162127e+01,2.834383844450328382e+01
8.608093304286015268e+01,3.557896550530573876e+01,2.540921433868034285e+01,4.379972894025040375e+01,2.300488621660980115e+01,2.075136159898896082e+01
8.515532057264442756e+01,3.490927899287518699e+01,2.515174086469478709e+01,4.105911762750578475e+01,2.326841212794212410e+01,2.053432387139226734e+01
