0% quantile: LV Network: 1102,25% quantile: LV Network: 1102,50% quantile: LV Network: 1102,75% quantile: LV Network: 1102,100% quantile: LV Network: 1102,0% quantile: LV Network: 1154,25% quantile: LV Network: 1154,50% quantile: LV Network: 1154,75% quantile: LV Network: 1154,100% quantile: LV Network: 1154,0% quantile: LV Network: 1202,25% quantile: LV Network: 1202,50% quantile: LV Network: 1202,75% quantile: LV Network: 1202,100% quantile: LV Network: 1202,0% quantile: LV Network: 1206,25% quantile: LV Network: 1206,50% quantile: LV Network: 1206,75% quantile: LV Network: 1206,100% quantile: LV Network: 1206,0% quantile: LV Network: 1262,25% quantile: LV Network: 1262,50% quantile: LV Network: 1262,75% quantile: LV Network: 1262,100% quantile: LV Network: 1262
1.063183137020731417e+00,1.073505162850420636e+00,1.074831765965882813e+00,1.076207742492906849e+00,1.079448967652362423e+00,1.072734840642195708e+00,1.073811761911797280e+00,1.074199646698686950e+00,1.075494992212563616e+00,1.075965923425501458e+00,1.073724742813063182e+00,1.076195614511593623e+00,1.078335292715465243e+00,1.079125334408064019e+00,1.080044788243979426e+00,1.076856775347352579e+00,1.077546388346523054e+00,1.077981398149988834e+00,1.078334154277486245e+00,1.079245610247393738e+00,1.075099998209101626e+00,1.076664907623164913e+00,1.077661014874292000e+00,1.080992496797732016e+00,1.081395113765512450e+00
1.063186150652930761e+00,1.073508153254487452e+00,1.074834752614601374e+00,1.076210725639410892e+00,1.079451942409692222e+00,1.072737858712483616e+00,1.073814777258317088e+00,1.074202661027639838e+00,1.075498002955388221e+00,1.075968932952724444e+00,1.073727696917000651e+00,1.076198562453915208e+00,1.078338235315050131e+00,1.079128275011231430e+00,1.080047726589241197e+00,1.076860338118264426e+00,1.077549948937063018e+00,1.077984957444837022e+00,1.078337712353973910e+00,1.079249165496370511e+00,1.075102949373083927e+00,1.076667854881103281e+00,1.077663959536878657e+00,1.080995432681216561e+00,1.081398048637190357e+00
1.073002397495784521e+00,1.077249662141482656e+00,1.078646877239322510e+00,1.080386408871146786e+00,1.082558799924659310e+00,1.076914039003385781e+00,1.078087186948549991e+00,1.078464148771928199e+00,1.078910967766191886e+00,1.079237490263855292e+00,1.076544513978621165e+00,1.078976707744249808e+00,1.080791060034836715e+00,1.081741078193017458e+00,1.083075066995384361e+00,1.080463717657752953e+00,1.080729442895049575e+00,1.080993169768422968e+00,1.081366647483730015e+00,1.082114401516259816e+00,1.079860646294311888e+00,1.080886876907646066e+00,1.081656262525362289e+00,1.083263403111547118e+00,1.083579604391483819e+00
1.073005490674099560e+00,1.077252744687239749e+00,1.078649955744048317e+00,1.080389482371383769e+00,1.082561867468003536e+00,1.076917149018414843e+00,1.078090293667999688e+00,1.078467254418333798e+00,1.078914072383537093e+00,1.079240593971427575e+00,1.076547560201131182e+00,1.078979747505503628e+00,1.080794094792053794e+00,1.081744110257290226e+00,1.083078095336145408e+00,1.080467407569467797e+00,1.080733131747466658e+00,1.080996857842187353e+00,1.081370334420042933e+00,1.082118085711168742e+00,1.079863683787923190e+00,1.080889911607271880e+00,1.081659294780986880e+00,1.083266430996143281e+00,1.083582631432011834e+00
1.073021780018401650e+00,1.077517434586197531e+00,1.078959682300880019e+00,1.080695340122919568e+00,1.082879428655941556e+00,1.077207153229131187e+00,1.078429280085098529e+00,1.079479274357181495e+00,1.079671259868107303e+00,1.079920286783093708e+00,1.077255456193608296e+00,1.078432375081421091e+00,1.080865950535296438e+00,1.081980320311433097e+00,1.083383097801295936e+00,1.080781568805333936e+00,1.081381907986092239e+00,1.081564185879926754e+00,1.081779891752062461e+00,1.082392169249509095e+00,1.079417705167778907e+00,1.080541881333755061e+00,1.082885177528471576e+00,1.083559568513411842e+00,1.083898219240607474e+00
1.073024083616974877e+00,1.077519727098669167e+00,1.078961978366279606e+00,1.080697628624278206e+00,1.082881709772555601e+00,1.077209467720516844e+00,1.078431591681705548e+00,1.079481584416762230e+00,1.079673569443092340e+00,1.079922595272531982e+00,1.077257727016320832e+00,1.078434641892245693e+00,1.080868206276946353e+00,1.081982576633747417e+00,1.083385350140531500e+00,1.080784315142664376e+00,1.081384652522727974e+00,1.081566929975984914e+00,1.081782635156245620e+00,1.082394911611294974e+00,1.079419965662321124e+00,1.080544139446530272e+00,1.082887430733160183e+00,1.083561820810293952e+00,1.083900470781586911e+00
1.075167829022519950e+00,1.078038450201862730e+00,1.079187925183823005e+00,1.080689705752393648e+00,1.082994514889958682e+00,1.077374518739402154e+00,1.078715771042348504e+00,1.079469079222076910e+00,1.079862839321938273e+00,1.080149685172681284e+00,1.077172366807502613e+00,1.079008789139736191e+00,1.081111014228511191e+00,1.082186961102441725e+00,1.083560325634900012e+00,1.080966489113352136e+00,1.081412560195153638e+00,1.081706516661961937e+00,1.081911980155667585e+00,1.082447069577163079e+00,1.080683280848851124e+00,1.081547906382742896e+00,1.082619294354684847e+00,1.083639607629934387e+00,1.084024869164191163e+00
1.075168454886348490e+00,1.078039062984698537e+00,1.079188527694769473e+00,1.080690312940990827e+00,1.082995121261049798e+00,1.077375134976255255e+00,1.078716386147431816e+00,1.079469692705701922e+00,1.079863451274805541e+00,1.080150296934911491e+00,1.077172968219236582e+00,1.079009391096102499e+00,1.081111613378562764e+00,1.082187559691559331e+00,1.083560924135501091e+00,1.080967217273612890e+00,1.081413290031669749e+00,1.081707245258101135e+00,1.081912707589666844e+00,1.082447797742620788e+00,1.080683879799568370e+00,1.081548504690262424e+00,1.082619893543049328e+00,1.083640205391400269e+00,1.084025466652554170e+00
1.075116764215477971e+00,1.077991064484522088e+00,1.079019462578350685e+00,1.080344739473895199e+00,1.082684992832876558e+00,1.077643335877212616e+00,1.078762152735811997e+00,1.078945925515373272e+00,1.079156695803500599e+00,1.079295137996801657e+00,1.077093846932249299e+00,1.078641112631754995e+00,1.081001556915178963e+00,1.082041508350811476e+00,1.083305339103938003e+00,1.079599403699325721e+00,1.080724980831833104e+00,1.081158802051570778e+00,1.081409862631317775e+00,1.082272484897292220e+00,1.081620622248596675e+00,1.081935712144731498e+00,1.082360824258097765e+00,1.083616587409992116e+00,1.083834741071137087e+00
1.075115260615626012e+00,1.077989572140260810e+00,1.079017975161502108e+00,1.080343257696040338e+00,1.082683515346291481e+00,1.077641839497033294e+00,1.078760657825274416e+00,1.078944427066404366e+00,1.079155198163737284e+00,1.079293640142491295e+00,1.077092376193650836e+00,1.078639645388527413e+00,1.081000092772057997e+00,1.082040046952826629e+00,1.083303881827857751e+00,1.079597624320326910e+00,1.080723203540469912e+00,1.081157024526897548e+00,1.081408084343755016e+00,1.082270707522865916e+00,1.081619160584798234e+00,1.081934250922919061e+00,1.082359365501064596e+00,1.083615127544285572e+00,1.083833281510130586e+00
