MV voltage: 0.0% quantile,MV voltage: 25.0% quantile,MV voltage: 50.0% quantile,MV voltage: 75.0% quantile,MV voltage: 100.0% quantile
1.019505480912297424e+00,1.027560555122058350e+00,1.028311967076572575e+00,1.030104813224287374e+00,1.036729911102035162e+00
1.019505623479422640e+00,1.027568060931348004e+00,1.028317205398507017e+00,1.030110454963572231e+00,1.036732569840352447e+00
1.019615127403961319e+00,1.031498134985047388e+00,1.032092269153914277e+00,1.033537774466920967e+00,1.038869939677699028e+00
1.019615270471675217e+00,1.031506666622888480e+00,1.032098965831583559e+00,1.033543632906977372e+00,1.038872677198830141e+00
1.019628555648252721e+00,1.032002099938325479e+00,1.032569632106378643e+00,1.033977276201536899e+00,1.039140306609640296e+00
1.019628661675404224e+00,1.032008372925754536e+00,1.032574594438926407e+00,1.033981674067764311e+00,1.039142341898560362e+00
1.019636527238692469e+00,1.032250746871064440e+00,1.032822792386441257e+00,1.034188536536398084e+00,1.039257579416483335e+00
1.019636555320340143e+00,1.032252256921873723e+00,1.032824144245740872e+00,1.034189695640035822e+00,1.039258119239857558e+00
1.019628332327085829e+00,1.031917961219398050e+00,1.032500955646026286e+00,1.033911636538167755e+00,1.039071093212521779e+00
1.019628263560846460e+00,1.031914074769520129e+00,1.032498596617941633e+00,1.033908787560431364e+00,1.039069774419007164e+00
1.019552026820005786e+00,1.029236872092122113e+00,1.029913814833650409e+00,1.031580734440838754e+00,1.037662311851308861e+00
1.019551866259390538e+00,1.029227382342349228e+00,1.029906153510769418e+00,1.031574270080619415e+00,1.037659285294159073e+00
1.019250053339207041e+00,1.029833091539235745e+00,1.030849376724354727e+00,1.033416818902642920e+00,1.042755932901205940e+00
1.019249806763925292e+00,1.029819786679205595e+00,1.030838393788525487e+00,1.033407805621101128e+00,1.042751504174658006e+00
1.018688223708456908e+00,1.023549281332525984e+00,1.025111534196706753e+00,1.029071306655261697e+00,1.043618258790742104e+00
1.018687908929955643e+00,1.023537810839256990e+00,1.025099346385865973e+00,1.029061324362446683e+00,1.043612936178824890e+00
1.018830134691637523e+00,1.027590620948299005e+00,1.029069327447100335e+00,1.032651091410329958e+00,1.045957619773319580e+00
1.018829864099129789e+00,1.027577807165083179e+00,1.029059064335303031e+00,1.032642110489444986e+00,1.045952975662339801e+00
1.019262692801597314e+00,1.030178630038269150e+00,1.031217983365592339e+00,1.033733453846013450e+00,1.042959713471543814e+00
1.019262503294585454e+00,1.030169423292217834e+00,1.031210037735799556e+00,1.033726501128868103e+00,1.042956300429836780e+00
1.019148363020259351e+00,1.026651517294054905e+00,1.027788691050467662e+00,1.030620075953550430e+00,1.041062616592471901e+00
1.019148202213432830e+00,1.026644263485029018e+00,1.027782273025211079e+00,1.030614351856846689e+00,1.041059772553815765e+00
1.019256487776868392e+00,1.030224137289718955e+00,1.031242735745292460e+00,1.033798204043993696e+00,1.043125502650144254e+00
1.019256366618429110e+00,1.030218167802250839e+00,1.031237596743079576e+00,1.033793797970438133e+00,1.043123321020330341e+00
1.019195596607714194e+00,1.028150473555075939e+00,1.029215362296742153e+00,1.031932134241967836e+00,1.041892891707964619e+00
1.019195509114775078e+00,1.028146158583875813e+00,1.029211415839144772e+00,1.031929002692540065e+00,1.041891332146105853e+00
1.019130734483056910e+00,1.025951214179738002e+00,1.027139792739994117e+00,1.030010923142775647e+00,1.040593452367747584e+00
1.019130701043717835e+00,1.025949628431525262e+00,1.027138366930501645e+00,1.030009746646600055e+00,1.040592870492007993e+00
1.019065841038932607e+00,1.023910344661488114e+00,1.025170509466188040e+00,1.028220085539737205e+00,1.039411995729571325e+00
1.019065885811465622e+00,1.023912412058143762e+00,1.025171971907848256e+00,1.028221647931897076e+00,1.039412778818677330e+00
