Prmy. Sub. Util.,Sdry. Sub. Util.1102 (800 kVA),Sdry. Sub. Util.1154 (200 kVA),Sdry. Sub. Util.1202 (200 kVA),Sdry. Sub. Util.1206 (200 kVA),Sdry. Sub. Util.1262 (100 kVA)
1.765655795941259854e+01,1.019626907515928593e+01,1.863184357432002258e+01,7.196973316790194808e+00,8.863335255564580351e+00,1.238382097107197666e+01
1.765207728011435506e+01,1.019627123751481435e+01,1.863184745183617252e+01,7.196974664820158907e+00,8.863337092385938476e+00,1.238382320376445556e+01
1.410159389467662017e+01,8.131095498069988992e+00,1.431367914561622534e+01,6.418514805430724834e+00,7.117241662766209842e+00,8.399817383046524810e+00
1.409683627773265968e+01,8.131096089348840650e+00,1.431368029450045931e+01,6.418515293173987502e+00,7.117242371920835531e+00,8.399818023734493266e+00
1.364795071392104475e+01,7.920422397971614181e+00,1.330743612555458100e+01,6.862763092211905835e+00,6.634896213197736259e+00,8.072718701136443187e+00
1.364439745190080977e+01,7.920419960918891000e+00,1.330743272581583625e+01,6.862762135520108941e+00,6.634895073215302475e+00,8.072717846325385693e+00
1.341681669236254670e+01,7.709076766202224817e+00,1.319951812322323370e+01,6.614940427726695660e+00,6.841806648758560705e+00,7.518467242365638903e+00
1.341587141907811009e+01,7.709074985491043641e+00,1.319951599970709744e+01,6.614939355547845956e+00,6.841805924494162916e+00,7.518466263903715863e+00
1.371487168549161773e+01,7.689280075365124034e+00,1.377210145569146249e+01,6.437349297277997096e+00,7.841990660864046170e+00,6.625721944487761306e+00
1.371717210429201650e+01,7.689282192669209870e+00,1.377210391738654849e+01,6.437350508654995807e+00,7.841991805029235429e+00,6.625722436639704505e+00
1.614968948307316055e+01,9.032497482916545195e+00,1.611958187673255694e+01,7.658827659394205511e+00,9.470127856643616227e+00,6.909862862407817552e+00
1.615485604027706756e+01,9.032496540389676198e+00,1.611957992993030331e+01,7.658826785914441437e+00,9.470126510989345547e+00,6.909862068644251565e+00
2.511601228951061771e+01,1.444370232646690511e+01,2.371731610152324166e+01,1.280772095077998607e+01,1.331837405644537142e+01,1.124042383712113846e+01
2.512296507617516284e+01,1.444369460432740127e+01,2.371730353701612160e+01,1.280771449684177199e+01,1.331836704756087641e+01,1.124041893835942574e+01
3.939779131641846988e+01,2.216720319267025019e+01,3.906807706845530959e+01,1.758162165376333519e+01,2.242526287767803694e+01,1.906838057862536928e+01
3.940521562969502156e+01,2.216716719426978699e+01,3.906801345629375533e+01,1.758159538743263539e+01,2.242522819390582001e+01,1.906835605910431397e+01
3.605699848770021276e+01,1.945693175751156545e+01,3.586158294948616998e+01,1.716323269075857283e+01,2.245237654910742719e+01,1.447713781710506709e+01
3.606363738363727833e+01,1.945691550614948895e+01,3.586155257068070767e+01,1.716321911474776130e+01,2.245235780676238235e+01,1.447712772524698011e+01
2.477901052109100632e+01,1.378348408278082005e+01,2.421591615903549766e+01,1.158210204787612696e+01,1.528963365906931671e+01,8.996623274167456330e+00
2.478438173204661510e+01,1.378348052704182614e+01,2.421590951263364033e+01,1.158209909559599105e+01,1.528962912176256239e+01,8.996621094101573846e+00
2.782349859451230856e+01,1.492335420342445573e+01,2.752140267786704797e+01,1.249623641984193156e+01,1.905210419494456175e+01,6.878660635295315018e+00
2.782787501858836876e+01,1.492336188182487078e+01,2.752141232511177193e+01,1.249624094680783770e+01,1.905210901986069061e+01,6.878661563360195963e+00
2.474027278312773959e+01,1.371876986317046665e+01,2.486067639869547818e+01,1.070332975590026692e+01,1.525803205970060894e+01,8.697744057247362548e+00
2.474370436085621705e+01,1.371876062661259610e+01,2.486066029876063510e+01,1.070332332983698720e+01,1.525802322840443104e+01,8.697740026585742967e+00
2.654249418928462489e+01,1.454234618627162767e+01,2.695918101591141891e+01,1.130727877395731795e+01,1.666931729559693665e+01,7.620730201088966815e+00
2.654491588508044231e+01,1.454235045432514006e+01,2.695918517869113629e+01,1.130728082665818945e+01,1.666931883920155855e+01,7.620730767576864295e+00
2.840999268855354032e+01,1.553553867008908895e+01,2.969407353941752348e+01,1.129360891448314064e+01,1.781339727776435211e+01,9.899422734984041128e+00
2.841088912148611101e+01,1.553554737351984016e+01,2.969408453887139387e+01,1.129361222032489209e+01,1.781340233194926626e+01,9.899425406317956089e+00
3.015226626174435509e+01,1.741154540426369479e+01,2.898888403852858886e+01,1.446027742767607904e+01,1.543761008302368687e+01,1.631656071469335245e+01
3.015108498054998520e+01,1.741154823344729863e+01,2.898888791340674587e+01,1.446027995351388284e+01,1.543761212637158309e+01,1.631656262797178769e+01
2.890909782544538587e+01,1.681485563729868460e+01,2.824550576603882135e+01,1.408016586731584496e+01,1.444479423274307273e+01,1.729288808767039143e+01
2.890574204462149766e+01,1.681485464319571932e+01,2.824550488805435577e+01,1.408016447117329584e+01,1.444479484059047003e+01,1.729288799584233161e+01
4.565053533512942607e+01,2.613557425281222635e+01,4.497708127624900953e+01,2.198058668936025839e+01,2.243466892928478629e+01,2.610168053253370601e+01
4.564543181057439369e+01,2.613559093368582609e+01,4.497711152788969002e+01,2.198060048629883667e+01,2.243468445301732572e+01,2.610169634735884614e+01
6.243559832903519435e+01,3.492810032293999001e+01,5.927233136432980842e+01,3.044798243572738627e+01,3.177377177659336382e+01,3.005969162531890504e+01
6.242968560668327171e+01,3.492806477007081867e+01,5.927227612198455375e+01,3.044795534092655842e+01,3.177374834544905013e+01,3.005967162216036570e+01
6.910050021618191352e+01,3.886630502436100443e+01,6.477612597052915078e+01,3.265092768120707944e+01,3.501156607310488056e+01,3.578940333164801046e+01
6.909535999915019033e+01,3.886629505406708773e+01,6.477611444755871162e+01,3.265092201330422483e+01,3.501156222436481613e+01,3.578939980282972044e+01
6.048721251706803059e+01,3.427345786722905530e+01,5.740969442493726405e+01,2.846521583483489692e+01,3.066239828254485644e+01,3.603010604756279633e+01
6.048383262484684764e+01,3.427351326854127933e+01,5.740978709416330616e+01,2.846525774265976594e+01,3.066244368492153782e+01,3.603015488602741812e+01
5.222441627182600854e+01,3.006998264732688142e+01,4.694311129023385831e+01,2.767308431464572394e+01,2.587353333979540793e+01,2.532449395348484700e+01
5.222227006558376416e+01,3.006998640133286571e+01,4.694311875380400778e+01,2.767308825796117588e+01,2.587353839868153216e+01,2.532449815667646220e+01
4.580759199790961134e+01,2.611291528593024225e+01,4.445815350523886167e+01,2.183951302991030374e+01,2.394340508592450689e+01,2.088388950344947403e+01
4.580573385155884836e+01,2.611292671755326467e+01,4.445817287415512453e+01,2.183952193524331165e+01,2.394341489120201771e+01,2.088389692086763105e+01
3.556662643395605983e+01,2.016368853972601372e+01,3.599134389780397925e+01,1.598570209096737216e+01,1.941529375002854607e+01,1.522656253787839020e+01
3.556393024723546858e+01,2.016368536575243553e+01,3.599134067839150930e+01,1.598570046505557940e+01,1.941529342460714957e+01,1.522656229601228262e+01
2.421031052113052340e+01,1.359570712571982831e+01,2.569953592673919118e+01,9.425346711937187649e+00,1.433256232980769873e+01,1.385250494069364180e+01
2.420634013398655782e+01,1.359571139305824161e+01,2.569954390432221913e+01,9.425349350972911822e+00,1.433256669897661340e+01,1.385250842369865332e+01
