0% quantile: LV Network: 1101,25% quantile: LV Network: 1101,50% quantile: LV Network: 1101,75% quantile: LV Network: 1101,100% quantile: LV Network: 1101,0% quantile: LV Network: 1110,25% quantile: LV Network: 1110,50% quantile: LV Network: 1110,75% quantile: LV Network: 1110,100% quantile: LV Network: 1110,0% quantile: LV Network: 1116,25% quantile: LV Network: 1116,50% quantile: LV Network: 1116,75% quantile: LV Network: 1116,100% quantile: LV Network: 1116,0% quantile: LV Network: 1117,25% quantile: LV Network: 1117,50% quantile: LV Network: 1117,75% quantile: LV Network: 1117,100% quantile: LV Network: 1117,0% quantile: LV Network: 1137,25% quantile: LV Network: 1137,50% quantile: LV Network: 1137,75% quantile: LV Network: 1137,100% quantile: LV Network: 1137
1.048387816200645695e+00,1.059310019624303711e+00,1.068278192215611266e+00,1.074777480955294351e+00,1.082987185422093157e+00,1.037520469182235061e+00,1.048526530075198693e+00,1.055765969391901260e+00,1.060914965086801054e+00,1.072635387548036778e+00,1.031078904488845760e+00,1.039555830238551692e+00,1.061975438953382644e+00,1.070234675419721615e+00,1.078227031428264926e+00,1.037698369857017910e+00,1.056296208793914948e+00,1.063987560938970400e+00,1.070821842900292253e+00,1.077623167312244945e+00,1.036418998938002822e+00,1.050780010474593684e+00,1.054863051514883798e+00,1.060697958028349097e+00,1.073659629746539057e+00
1.047135300719838957e+00,1.058322546239569117e+00,1.067214689940298777e+00,1.073932914339327027e+00,1.082412781462244622e+00,1.035773705260566446e+00,1.047201004398416568e+00,1.054258576120391533e+00,1.059396676119280567e+00,1.071974103143674473e+00,1.031939364473764664e+00,1.037172170281219774e+00,1.060858693017543430e+00,1.069563295138532766e+00,1.077651039803433353e+00,1.035568259255944756e+00,1.054798390246041828e+00,1.063201890124631399e+00,1.069912775304826980e+00,1.077019246781485196e+00,1.034114984429640893e+00,1.049421904024597119e+00,1.053540321633982924e+00,1.059816905195764436e+00,1.072766066765503679e+00
1.046286275154071133e+00,1.057663394731279904e+00,1.066432926697171490e+00,1.073565092377700703e+00,1.082025908850880347e+00,1.034492301599508224e+00,1.046338612177280858e+00,1.052991050297972242e+00,1.058556520679009960e+00,1.071568296331339321e+00,1.028927709813022062e+00,1.036903860223545859e+00,1.060087264834319143e+00,1.069311433695555369e+00,1.077296033024419231e+00,1.033917481031181529e+00,1.053612210804454108e+00,1.062633519337193189e+00,1.069268685138314190e+00,1.076640462449127034e+00,1.032305732857954572e+00,1.048309113619035671e+00,1.053142881578657430e+00,1.059038210058899310e+00,1.072115354874928927e+00
1.045858029794854982e+00,1.057299494834858189e+00,1.066145639376167020e+00,1.073399778084783041e+00,1.081871569967600477e+00,1.033701973060786816e+00,1.046396953698172538e+00,1.052353493831136522e+00,1.058005878625592810e+00,1.071426676580523596e+00,1.026282793815990635e+00,1.037822927615722257e+00,1.059677884050277186e+00,1.069045841684315601e+00,1.077169416007743852e+00,1.032778936485323706e+00,1.052790387358433444e+00,1.062547786680361206e+00,1.068956701834667067e+00,1.076492310164341770e+00,1.031028260523225049e+00,1.047404383096422364e+00,1.052674711742733971e+00,1.058530064253498271e+00,1.071720682728781293e+00
1.045859138491072260e+00,1.057383451157594800e+00,1.066319562339072435e+00,1.073564762345404322e+00,1.081982602285269213e+00,1.033418259125699956e+00,1.046874862853415689e+00,1.052295874306783396e+00,1.058190412400761726e+00,1.071552345545756957e+00,1.024150661746077384e+00,1.039611613564538350e+00,1.059639605013450225e+00,1.068956386105114786e+00,1.077273668190445566e+00,1.032175088923573236e+00,1.052349037399193055e+00,1.062443905126996047e+00,1.068917081784554801e+00,1.076577953101290896e+00,1.030308596369832852e+00,1.047339039182622056e+00,1.052290660743220307e+00,1.058718137123777936e+00,1.071589837043517734e+00
1.046289352053811683e+00,1.057686084920641978e+00,1.066866967695982105e+00,1.073793411536866360e+00,1.082296044684735614e+00,1.033646237380656974e+00,1.047094788787807929e+00,1.052559149629328061e+00,1.058178425999294348e+00,1.071942786975526252e+00,1.022573183937278030e+00,1.041088259766265178e+00,1.059973610644414865e+00,1.069078541853464515e+00,1.077606357310619156e+00,1.032115199963544727e+00,1.052296447114231981e+00,1.062922730688668160e+00,1.069144750332204019e+00,1.076895635464542256e+00,1.030161141387602841e+00,1.047444650072092864e+00,1.052555629745209886e+00,1.059570655403273109e+00,1.071725073494428138e+00
1.047139451395967757e+00,1.058176434089844520e+00,1.067336459712983077e+00,1.074130620020217863e+00,1.082805390828746495e+00,1.034380224532164272e+00,1.048334685221667950e+00,1.053249254271382718e+00,1.058817830136152160e+00,1.072589831350824197e+00,1.021581128869330835e+00,1.044082219839918890e+00,1.060672999350138923e+00,1.069500718207234691e+00,1.078160140909025788e+00,1.032538944358533994e+00,1.052678211008602593e+00,1.063836426970123483e+00,1.069681759276055244e+00,1.077438642092105603e+00,1.030381821554930966e+00,1.047800254221010530e+00,1.053342871490663413e+00,1.060541539017937573e+00,1.072127300529439387e+00
1.048391715734793062e+00,1.059011507476033342e+00,1.068088744948314073e+00,1.074805026903589811e+00,1.083500054328376594e+00,1.035604198306524504e+00,1.050182663819001938e+00,1.054326737327865526e+00,1.060037674880236036e+00,1.073480014859405918e+00,1.021193684089690690e+00,1.046707186856674632e+00,1.061407091023994997e+00,1.070076587477254870e+00,1.078923104764697882e+00,1.033500084972130750e+00,1.053474052987707577e+00,1.065134915699174289e+00,1.070554570224425017e+00,1.078195603819619652e+00,1.031175110816209051e+00,1.048560532647719867e+00,1.055045648783672796e+00,1.062173143365009009e+00,1.072999827889923097e+00
1.050020362718126599e+00,1.060181181732688049e+00,1.069107942885364260e+00,1.075792407964911934e+00,1.084365632987184469e+00,1.037292282287698431e+00,1.051685099298079518e+00,1.055744019624793140e+00,1.061646124394628021e+00,1.074594916946568723e+00,1.021417262553714123e+00,1.049660711047107453e+00,1.062258861797890308e+00,1.071032550753331147e+00,1.079879114950759167e+00,1.034977903629498375e+00,1.054629310174220347e+00,1.066675766883985244e+00,1.071578481473640210e+00,1.079150784024216714e+00,1.032523553744225220e+00,1.050038149470746252e+00,1.056935322908563846e+00,1.063944013771106478e+00,1.074101643272735274e+00
1.051992405862767654e+00,1.061672711722219331e+00,1.070372999629015665e+00,1.076939515160166394e+00,1.085384391258719772e+00,1.039409565836081351e+00,1.053726241591645518e+00,1.057599203609961958e+00,1.063427377144321007e+00,1.075911775693171757e+00,1.022246223655358888e+00,1.051328016599434534e+00,1.063841615134107910e+00,1.072344410103348356e+00,1.081008335042774382e+00,1.036941528112765631e+00,1.056119885664680513e+00,1.068261143137316127e+00,1.072903000076778302e+00,1.080284609688594744e+00,1.034397941079610694e+00,1.051727463827459630e+00,1.059324104795739130e+00,1.065613942137250802e+00,1.075410210137119016e+00
1.042452173451254627e+00,1.051728024197704059e+00,1.060037035392112692e+00,1.066656766473046636e+00,1.075080618596007120e+00,1.029947699389363480e+00,1.044351133792197350e+00,1.048053387120279289e+00,1.053761077830875248e+00,1.065838785743098205e+00,1.011445464078671419e+00,1.040839040446591923e+00,1.053747808240368844e+00,1.062156184118747237e+00,1.070783073152403064e+00,1.027346162719302347e+00,1.046257545419145174e+00,1.058679829549609597e+00,1.062839820377912803e+00,1.070062967748720562e+00,1.024726880505144377e+00,1.041749841761148154e+00,1.050022838703797756e+00,1.056071752785530116e+00,1.065329436154395459e+00
