MV voltage: 0.0% quantile,MV voltage: 25.0% quantile,MV voltage: 50.0% quantile,MV voltage: 75.0% quantile,MV voltage: 100.0% quantile
1.018170253221417854e+00,1.030949440059384381e+00,1.037519608574692498e+00,1.040764037264828579e+00,1.046348130964965151e+00
1.018129084198379886e+00,1.030507262704000837e+00,1.037105730235147849e+00,1.040319901224187937e+00,1.046221939016950264e+00
1.018102525305570438e+00,1.030204112143989104e+00,1.036871180717602758e+00,1.040029052739618987e+00,1.046221524902416711e+00
1.018091246822695028e+00,1.030169419708095724e+00,1.036821319709622768e+00,1.039897778774512282e+00,1.046348016956300198e+00
1.018095531459657366e+00,1.030411254062462589e+00,1.036865090627976382e+00,1.039928868277357310e+00,1.046599653110158679e+00
1.018115268031152043e+00,1.030881848301034687e+00,1.037066288290348748e+00,1.040121577919314699e+00,1.046971827928802501e+00
1.018149949983250924e+00,1.031554201883599031e+00,1.037530092508903934e+00,1.040471596751439298e+00,1.047457140490362981e+00
1.018198703265788874e+00,1.032324327390307994e+00,1.038076570424961931e+00,1.040971263861159901e+00,1.048045655986405977e+00
1.018260316919443076e+00,1.033299452344451197e+00,1.038780060896552726e+00,1.041609775826899842e+00,1.048725157816998044e+00
1.018333296158453027e+00,1.034425584818391641e+00,1.039625806084252257e+00,1.042411684398172111e+00,1.049481548568456546e+00
1.014559151513622970e+00,1.024689767553937481e+00,1.029634249931610457e+00,1.032387892325898893e+00,1.039429503408417776e+00
1.016279688259304814e+00,1.026019523828675339e+00,1.030705825724256952e+00,1.033386416822996479e+00,1.040285570535463666e+00
1.018149533850812638e+00,1.027408617900364529e+00,1.031919536893912248e+00,1.034422273654595381e+00,1.041168417959341008e+00
1.018701404661648047e+00,1.028876648258452597e+00,1.033196728321401192e+00,1.035533459558198199e+00,1.042060960294372229e+00
1.018803160306448907e+00,1.030396556533107466e+00,1.034443056231419744e+00,1.036658584086782131e+00,1.042946440427505950e+00
1.018904741642219225e+00,1.031941101386084636e+00,1.035791187999593133e+00,1.037772932138675941e+00,1.043808813777303168e+00
1.019004349826757361e+00,1.033483423800769962e+00,1.037173764528965370e+00,1.038879867038699167e+00,1.044633090863011482e+00
1.019100339807658351e+00,1.034997489838424212e+00,1.038458972924136692e+00,1.039988863105935302e+00,1.045405578818057180e+00
1.019191243089052179e+00,1.036458504620528132e+00,1.039723824924444040e+00,1.041034112319355831e+00,1.046114081652991912e+00
1.019275780046065005e+00,1.037843257107308848e+00,1.040865264568917814e+00,1.042025497609960993e+00,1.046748035723314096e+00
1.019352860354642454e+00,1.039130361694520222e+00,1.041910750007687847e+00,1.042957491516933732e+00,1.047298563748105593e+00
1.019421579140739054e+00,1.040300496893999505e+00,1.042833240847891307e+00,1.043778930496121582e+00,1.047758510911134477e+00
1.019481205196795637e+00,1.041336566511777972e+00,1.043629982710146509e+00,1.044493769592847343e+00,1.048122423259478131e+00
1.019531160213782428e+00,1.042223736579316551e+00,1.044307835237275661e+00,1.045092365669118895e+00,1.048386444414137975e+00
1.019570879127897456e+00,1.031912657017604484e+00,1.033843965102448914e+00,1.034558676835610092e+00,1.037569673094438816e+00
1.019600311122707881e+00,1.032467567775938289e+00,1.034214149986736109e+00,1.034902447642177536e+00,1.037623693444153616e+00
1.019619084782980911e+00,1.032843753933516462e+00,1.034412953119332457e+00,1.035130313103169719e+00,1.037576129007342862e+00
1.019627065534045807e+00,1.033036075209260218e+00,1.034460421513571760e+00,1.035227602627164289e+00,1.037428739529369537e+00
1.019624197362300144e+00,1.033041871584358118e+00,1.034397413987572234e+00,1.035177371793465362e+00,1.037184430064339358e+00
1.019610495065078393e+00,1.032753205467173085e+00,1.034234659691513736e+00,1.034991202780560116e+00,1.036847139437526710e+00
1.019586050577201863e+00,1.032173985951290618e+00,1.033899411657945189e+00,1.034705416785921761e+00,1.036421830751141027e+00
1.019551035861338439e+00,1.031410522093953563e+00,1.033345947816717514e+00,1.034297728596624832e+00,1.035914411094300602e+00
1.019505719169828462e+00,1.030478525676448154e+00,1.032702727504809515e+00,1.033767585597015870e+00,1.035331751266187261e+00
1.019450478386148440e+00,1.029352238110500695e+00,1.031923870181345348e+00,1.033121652047836347e+00,1.034702008861321909e+00
1.019385822567660860e+00,1.028133006079057665e+00,1.031046411578345534e+00,1.032368284197695996e+00,1.034101342490155506e+00
1.019312649993001640e+00,1.037848869607190139e+00,1.041062175903761489e+00,1.042505799220388774e+00,1.044397625841965827e+00
1.019231359532731584e+00,1.036401762864160636e+00,1.039970468500133194e+00,1.041564427006227866e+00,1.043652513554627292e+00
1.019143153235980481e+00,1.034859988394357888e+00,1.038796761329283003e+00,1.040551789607338407e+00,1.042853464763252802e+00
1.019049228659248296e+00,1.033250242851247780e+00,1.037559242211421262e+00,1.039483554688987788e+00,1.042012423868692528e+00
1.018950975924300062e+00,1.031583246835771739e+00,1.036277755951831470e+00,1.038375628435435072e+00,1.041142578310154221e+00
1.018849968091100511e+00,1.029905001799849895e+00,1.034973539563031952e+00,1.037246364928770204e+00,1.040258206009496256e+00
1.018747945197298055e+00,1.028247205237823980e+00,1.033668943080910507e+00,1.036115278252380145e+00,1.039374500503386312e+00
1.018646785233744412e+00,1.026659402069449500e+00,1.032387052389267978e+00,1.035002432414094287e+00,1.038507314747901811e+00
1.018548464305240708e+00,1.025198539240097739e+00,1.031151248646656304e+00,1.033928263034608275e+00,1.037741288654324912e+00
1.016755995395923984e+00,1.023851677280517958e+00,1.029984744439498279e+00,1.032913165485282558e+00,1.037100243783396492e+00
1.014985853611612088e+00,1.022644714614519224e+00,1.028984887718868757e+00,1.031976990497897262e+00,1.036542435008924290e+00
1.013391893531794485e+00,1.021573173398500067e+00,1.028026447011781253e+00,1.031143710178985984e+00,1.036079978451930117e+00
1.012005241286306756e+00,1.020623409504575196e+00,1.027199971664674250e+00,1.030427986862479717e+00,1.035723451523338223e+00
