Prmy. Sub. Util.,Sdry. Sub. Util.1101 (800 kVA),Sdry. Sub. Util.1110 (800 kVA),Sdry. Sub. Util.1116 (800 kVA),Sdry. Sub. Util.1117 (1000 kVA),Sdry. Sub. Util.1137 (800 kVA)
2.611882085135155762e+01,3.389337746419471387e+01,4.028161620136607013e+01,3.689823435702188448e+01,3.446196750876789139e+01,4.033801727750773836e+01
2.658369473545664619e+01,3.468519602354266596e+01,4.123911859442475247e+01,3.776080226281420948e+01,3.527576423148455831e+01,4.129313777309739919e+01
2.687421402048688179e+01,3.526105405111492530e+01,4.193802759694586513e+01,3.838696065198655560e+01,3.587037187516997960e+01,4.198902149259141936e+01
2.698499513663337268e+01,3.561057120932485986e+01,4.236545792319982695e+01,3.876522710706006336e+01,3.623500416870248841e+01,4.241278684944194310e+01
2.691399105090759036e+01,3.572746996872497505e+01,4.251354724935371365e+01,3.888864524577808623e+01,3.636303833850610800e+01,4.255657298735652461e+01
2.666247564456729080e+01,3.560963222930992345e+01,4.237954794273714754e+01,3.875486325249831054e+01,3.625208436580059868e+01,4.241763585254025770e+01
2.623508948897778836e+01,3.525923489248576459e+01,4.196599926870369757e+01,3.836629296566837155e+01,3.590413357824796492e+01,4.199852677485399255e+01
2.563965771909960267e+01,3.468261041227374619e+01,4.128055818305177382e+01,3.772996009004164364e+01,3.532542650671579310e+01,4.130692831073457683e+01
2.488707384878954443e+01,3.389018165065409960e+01,4.033589878107200377e+01,3.685743726214862903e+01,3.452639396080090961e+01,4.035556222936633475e+01
2.399101136423285752e+01,3.289618877410377706e+01,3.914936812540461375e+01,3.576452672947183231e+01,3.352138536936273283e+01,3.916184401520813196e+01
2.297346090407262409e+01,3.173260151679045649e+01,3.776700821954915455e+01,3.449322648854816720e+01,3.234382846225066288e+01,3.777246687109115442e+01
2.184065358944752688e+01,3.039084608738363968e+01,3.616346611143915624e+01,3.302049294084743991e+01,3.098289452238996233e+01,3.616109473084521397e+01
2.061905304752499291e+01,2.891000354006399320e+01,3.439393401215327373e+01,3.139654027011656012e+01,2.947934078611402953e+01,3.438359617395011725e+01
1.933019356831041691e+01,2.731612801473457708e+01,3.248994609117067256e+01,2.965017896321665702e+01,2.785968384521497399e+01,3.247167016355422930e+01
1.799661087432044226e+01,2.563709577520055660e+01,3.048512656376195551e+01,2.781216584207848896e+01,2.615231974719332797e+01,3.045911908020481107e+01
1.664142132428521847e+01,2.390208087417303062e+01,2.841454106131142154e+01,2.591461738765839229e+01,2.438698578559597507e+01,2.838119396068750078e+01
1.528788519208404573e+01,2.214099551315024073e+01,2.631401224978669617e+01,2.399038169361891804e+01,2.259418553330069912e+01,2.627390221089779487e+01
1.395903658328669827e+01,2.038399929302225999e+01,2.421952713311912220e+01,2.207249112230499932e+01,2.080468349693258290e+01,2.417340767417979919e+01
1.267729665750500523e+01,1.866097744448808271e+01,2.216661796223235825e+01,2.019358697976675288e+01,1.904896959839280512e+01,2.211540416795020647e+01
