0% quantile: LV Network: 1101,25% quantile: LV Network: 1101,50% quantile: LV Network: 1101,75% quantile: LV Network: 1101,100% quantile: LV Network: 1101,0% quantile: LV Network: 1103,25% quantile: LV Network: 1103,50% quantile: LV Network: 1103,75% quantile: LV Network: 1103,100% quantile: LV Network: 1103,0% quantile: LV Network: 1105,25% quantile: LV Network: 1105,50% quantile: LV Network: 1105,75% quantile: LV Network: 1105,100% quantile: LV Network: 1105
1.013679446450445276e+00,1.059915759889577203e+00,1.070302306138113835e+00,1.083756419432939433e+00,1.103776224238258052e+00,1.044206553937742976e+00,1.050384596110640611e+00,1.053243096410946489e+00,1.097149884921667429e+00,1.103898396825670369e+00,9.789406471937827092e-01,1.023581968600810077e+00,1.046472909300838472e+00,1.066403274598408668e+00,1.098044737426062456e+00
1.004197095779623794e+00,1.053831503785696011e+00,1.071217302832207841e+00,1.080513349290133540e+00,1.098914971642729776e+00,1.026994412883505792e+00,1.039053949774455532e+00,1.051341946890632428e+00,1.088042473895463047e+00,1.097242897122090666e+00,9.844463592421043296e-01,1.013942810754085322e+00,1.041852399572153809e+00,1.063182592586845887e+00,1.088424202681664177e+00
1.017262572662186226e+00,1.042514503903927192e+00,1.061303470099296931e+00,1.073168704876602320e+00,1.098624519608819128e+00,1.029948452668119518e+00,1.042190701710444811e+00,1.058109036999253627e+00,1.079861744577886640e+00,1.092027710919710293e+00,9.744692124551770362e-01,1.014028271706818529e+00,1.036159178933927283e+00,1.055935185756433414e+00,1.087172378426877861e+00
1.030078055510999402e+00,1.049055750833927103e+00,1.064854837849388502e+00,1.080704004817404140e+00,1.101383883376962247e+00,1.035780586785371327e+00,1.048139329138072728e+00,1.069197947647150260e+00,1.078169476954266237e+00,1.091737864391919111e+00,9.760884607618149911e-01,1.016857037249059958e+00,1.038095769120219725e+00,1.058318224363370197e+00,1.089139437955870537e+00
1.021657708480666171e+00,1.052437892856832091e+00,1.069275827270871559e+00,1.083024089887433039e+00,1.102482128963826469e+00,1.047341048819492304e+00,1.054182354336985261e+00,1.072360442632926958e+00,1.079907880139514109e+00,1.092922867601725745e+00,9.774155789267793271e-01,1.009766429908774077e+00,1.044775275350961818e+00,1.075081081268636662e+00,1.091824063809080148e+00
1.024426245945791347e+00,1.055009840570803270e+00,1.072567280550913882e+00,1.084706178468313187e+00,1.105162765623675325e+00,1.059694303963148787e+00,1.066978969756754214e+00,1.074335375407407644e+00,1.084115675473821039e+00,1.095796592810379222e+00,9.854195875080857814e-01,1.027661073655968149e+00,1.047919898782980530e+00,1.077299634526557970e+00,1.095387228893023535e+00
1.027405455465814299e+00,1.062615982041609453e+00,1.073630998611730281e+00,1.083573550879393554e+00,1.102663528447634933e+00,1.061156558892455859e+00,1.068600646609514815e+00,1.074819350763824177e+00,1.077584846422320997e+00,1.091554224547447882e+00,9.888796105457535734e-01,1.029819307798764072e+00,1.059425898132420496e+00,1.071386650034600985e+00,1.095732188689970243e+00
1.036573357404033890e+00,1.071393626540611876e+00,1.078445336840865965e+00,1.089499468807934024e+00,1.104986799959619681e+00,1.070429871793521448e+00,1.075311150060145549e+00,1.080233928796351162e+00,1.081454262687532086e+00,1.094829606501223962e+00,1.016118205697483790e+00,1.050537003136110092e+00,1.065385223740457521e+00,1.076205751005880007e+00,1.100869236139926377e+00
1.036400797409481545e+00,1.076441767495269097e+00,1.084115779627070841e+00,1.095806483117649499e+00,1.106919762011446817e+00,1.071026100713040163e+00,1.078426851932201558e+00,1.083343415236290408e+00,1.085987860446917086e+00,1.098402034553693118e+00,1.044831577613210216e+00,1.059284515024827789e+00,1.069040149159457442e+00,1.083712408112891490e+00,1.104021364417809181e+00
1.043225999163875484e+00,1.079533220566353258e+00,1.088673063907669825e+00,1.098681801750366782e+00,1.113351983006175550e+00,1.075458577497080181e+00,1.082517173915775510e+00,1.085169205960882177e+00,1.086752915520296625e+00,1.098996425963268964e+00,1.043350174249829010e+00,1.063803425322656482e+00,1.077098590431577740e+00,1.088009360389987634e+00,1.106691655117693518e+00
1.037008019956054961e+00,1.073511423821001953e+00,1.085813030683246749e+00,1.096404028082131887e+00,1.116624221986065146e+00,1.070853970836538993e+00,1.077283956007715648e+00,1.079173668403161424e+00,1.082916841842573863e+00,1.096056614513784000e+00,1.041029961209368970e+00,1.055308439370774565e+00,1.067780633213241348e+00,1.083216725021659999e+00,1.103784541437874855e+00
1.035079678114454671e+00,1.082130251328177639e+00,1.089576799997116874e+00,1.098028454489512473e+00,1.116607887248089792e+00,1.071491612191756371e+00,1.077429674871096754e+00,1.085437108261437800e+00,1.090440394639960342e+00,1.104319367141093355e+00,1.046387754904263279e+00,1.061895263815734625e+00,1.073571085281633586e+00,1.086674790715179473e+00,1.105764876423701804e+00
1.007514849595717799e+00,1.067765788704196472e+00,1.076210033873237215e+00,1.088061360712793135e+00,1.109266980261694568e+00,1.052761183524039135e+00,1.059932353525359527e+00,1.070772232319744388e+00,1.078768171061745385e+00,1.098303745194106229e+00,1.021816997448345532e+00,1.043808039570452539e+00,1.051311129806425937e+00,1.074830025524144306e+00,1.094606170967098446e+00
9.906077175486331932e-01,1.055857560338447687e+00,1.071870990937374701e+00,1.081610691395726409e+00,1.103925685765125841e+00,1.046968496202950183e+00,1.054716735708036701e+00,1.065897619339402302e+00,1.069524988572283286e+00,1.091694864609807469e+00,9.915928542126706269e-01,1.024635849215614458e+00,1.035240474016291490e+00,1.068496602709521071e+00,1.089557787447249959e+00
1.016483407225540869e+00,1.041930693347903114e+00,1.061257657964879364e+00,1.073308679184106884e+00,1.086256215495077670e+00,1.025757552503262948e+00,1.038161578324904966e+00,1.053312561811439618e+00,1.056788011535174432e+00,1.084463495140219003e+00,9.831258066157524400e-01,1.010110527068548647e+00,1.022600960941555170e+00,1.056237636121934553e+00,1.084575876243858206e+00
1.021703668593623826e+00,1.048343003830884079e+00,1.064008743069840834e+00,1.073679563266825898e+00,1.086885022699619396e+00,1.024990944070619747e+00,1.031533065489430356e+00,1.048361900443046668e+00,1.058200662470885067e+00,1.087636180415127329e+00,9.897338089731104738e-01,1.013224494539210596e+00,1.031666366971519366e+00,1.056938572833684642e+00,1.086850116475261308e+00
1.025768705229738620e+00,1.060450400975430973e+00,1.070515426087539357e+00,1.078816817326004429e+00,1.091138775355994461e+00,1.024748902544975637e+00,1.037716662555826730e+00,1.052172731146711060e+00,1.077852347084121920e+00,1.099366155173872484e+00,1.005225567940756903e+00,1.031810884345847557e+00,1.042835900553314765e+00,1.065602389476872247e+00,1.094194022728131266e+00
1.024313630734697389e+00,1.059231047261304903e+00,1.071740974504872712e+00,1.080191662339790248e+00,1.092500819815755975e+00,1.025212874571497901e+00,1.035471909877398122e+00,1.058676755427852223e+00,1.084478228696546420e+00,1.100658826394210088e+00,1.003220227042646462e+00,1.032189690196888332e+00,1.049399104512706904e+00,1.063843211652166110e+00,1.093877122258486878e+00
1.053112109357108972e+00,1.073722222999679010e+00,1.084917305387750996e+00,1.092281237042070696e+00,1.105451100844014878e+00,1.045952394008247133e+00,1.054609161445625443e+00,1.071030821418091028e+00,1.098527631843379204e+00,1.109691577435675702e+00,1.029265568763942040e+00,1.056061429561870213e+00,1.068713327820048464e+00,1.079864689499312247e+00,1.098167279967618537e+00
1.053489938701987594e+00,1.077484990141449384e+00,1.086692358420469962e+00,1.093282674620487338e+00,1.109668845771020873e+00,1.053226773020573104e+00,1.061787451049303055e+00,1.072856981552783751e+00,1.103407109062572999e+00,1.112971131315733997e+00,1.039933474285395176e+00,1.062140743604887083e+00,1.074004412599760983e+00,1.085390111222633180e+00,1.106149318579690899e+00
1.061664204826597180e+00,1.081293767989291110e+00,1.086648089316635479e+00,1.094284963454513093e+00,1.107016248325830787e+00,1.056535700779047460e+00,1.066170778239848627e+00,1.078900768253829412e+00,1.100134143726333225e+00,1.110856535409618928e+00,1.035138809423462813e+00,1.059410524708874313e+00,1.074309499479608299e+00,1.085228842691345008e+00,1.105119262581000461e+00
1.054328665723594405e+00,1.075949750074298716e+00,1.088588347037322102e+00,1.095531961555980427e+00,1.106511937340856067e+00,1.063836724353230956e+00,1.072961066073923941e+00,1.081549313302475168e+00,1.102600336985413154e+00,1.112620194970516785e+00,1.030134598784841371e+00,1.058446284061109299e+00,1.080208606338683985e+00,1.088305356166080706e+00,1.106617134036843142e+00
1.062510453687032896e+00,1.079453687702895959e+00,1.089039178364298532e+00,1.097395165000516037e+00,1.104752856237170233e+00,1.076639393044427351e+00,1.078734367715556086e+00,1.087079038053888169e+00,1.095044212444281184e+00,1.108949610680878717e+00,1.039387325274846896e+00,1.064550179326754220e+00,1.083706814926620465e+00,1.091401871587650563e+00,1.108942614393296777e+00
1.062385966103982282e+00,1.079876173694366948e+00,1.090325071792841216e+00,1.097084101679179025e+00,1.107846401637006206e+00,1.075946579997637098e+00,1.080237436045846655e+00,1.083608452076844531e+00,1.088679412932449964e+00,1.105277060968713698e+00,1.037717589178242195e+00,1.066282768735504316e+00,1.084637460979972934e+00,1.094843004058766445e+00,1.109736535490912557e+00
1.051005470351993543e+00,1.073682059908421360e+00,1.089423330577110605e+00,1.096742919068603328e+00,1.110404232472368191e+00,1.067839389308405496e+00,1.071149031911934113e+00,1.077829265847285223e+00,1.082316590153334701e+00,1.100792355642406628e+00,1.023561896477158450e+00,1.067485003894843576e+00,1.082299330309375085e+00,1.089283957128633906e+00,1.105091361661874494e+00
1.047419741869983323e+00,1.070489403851033305e+00,1.085585941811241906e+00,1.092814218976926099e+00,1.106461026786406121e+00,1.069034750681857826e+00,1.072144662306084850e+00,1.081193875254331971e+00,1.085611101238810772e+00,1.097208957616991887e+00,1.018517838255469599e+00,1.063419015769518694e+00,1.082812997269043231e+00,1.093506381429990348e+00,1.102505079037400249e+00
