MV voltage: 0.0% quantile,MV voltage: 25.0% quantile,MV voltage: 50.0% quantile,MV voltage: 75.0% quantile,MV voltage: 100.0% quantile
1.002185191761802763e+00,1.030469184714284392e+00,1.045181432818208522e+00,1.052218819780389225e+00,1.059466930013607255e+00
9.943813995768790992e-01,1.025158664729783453e+00,1.041449337480068182e+00,1.049067664779462561e+00,1.056876459921416433e+00
9.956171496026927636e-01,1.025839343139339110e+00,1.041962384200167291e+00,1.049442992606423264e+00,1.057122495665374640e+00
1.002055205794415871e+00,1.030138732392579470e+00,1.045109340866962278e+00,1.052076352785516367e+00,1.059232326343804820e+00
1.005015379054075231e+00,1.032059611370190755e+00,1.046563631152537255e+00,1.053241954752534681e+00,1.060116321393189898e+00
1.012196064577835397e+00,1.036870177941423998e+00,1.050033695226202823e+00,1.056143927123681880e+00,1.062437437243144434e+00
1.014004158145709544e+00,1.038035476195190654e+00,1.050893863375047310e+00,1.056816645932054266e+00,1.062971142945877912e+00
1.017183632638771984e+00,1.043076394750794389e+00,1.054586963675990141e+00,1.059887178385908069e+00,1.065408754900150079e+00
1.017335801345407686e+00,1.045013551369397664e+00,1.056014381789504686e+00,1.061081577646433960e+00,1.066385943161101801e+00
1.017465221546446141e+00,1.046689351370524879e+00,1.057233540517122705e+00,1.062089491625180848e+00,1.067158811901908422e+00
1.017153769409005593e+00,1.042914925008314064e+00,1.054373014404373921e+00,1.059707250081920904e+00,1.065368995011711339e+00
1.017362432118785964e+00,1.045657029394776227e+00,1.056317268730473602e+00,1.061346727399378187e+00,1.066745663229095253e+00
1.011181544190575154e+00,1.036053880122195459e+00,1.049245687159039209e+00,1.055426466158503107e+00,1.062088245851450452e+00
1.005837688138524921e+00,1.032371209449832516e+00,1.046452507051359726e+00,1.053016126252377838e+00,1.060153761159319696e+00
9.919532709777418855e-01,1.023045767974310571e+00,1.039783339886938274e+00,1.047417844098043727e+00,1.055499590867860826e+00
9.951041549871311176e-01,1.025093962593598640e+00,1.041305875390694746e+00,1.048741119623991747e+00,1.056471955739414215e+00
1.004069032657407767e+00,1.031223107342579048e+00,1.045816679012080197e+00,1.052514492919885747e+00,1.059576969807515701e+00
1.006065070780593818e+00,1.032533159163395720e+00,1.046724775950482300e+00,1.053288585372050612e+00,1.060215739772139454e+00
1.017139517874640520e+00,1.043215488082485543e+00,1.054369090689531996e+00,1.059715657877396300e+00,1.065506504464350135e+00
1.017398663729676356e+00,1.046447412643771280e+00,1.056789888135285738e+00,1.061695008384384575e+00,1.067049355198797622e+00
1.017375143553406858e+00,1.045929640440583341e+00,1.056487013788360851e+00,1.061459888111305538e+00,1.066777039901727564e+00
1.017495957770455650e+00,1.047729033903017193e+00,1.057721226606843867e+00,1.062475635873773694e+00,1.067710643802603609e+00
1.017644560199252091e+00,1.049585268594666942e+00,1.059071732499296203e+00,1.063601982047531314e+00,1.068541267271794215e+00
1.017674015204359739e+00,1.050059163605423951e+00,1.059402496560413409e+00,1.063875269999676298e+00,1.068799891425458171e+00
1.017456714033161846e+00,1.047270824505326825e+00,1.057339019293737969e+00,1.062188743873722530e+00,1.067466593114797080e+00
