Prmy. Sub. Util.,Sdry. Sub. Util.1101 (800 kVA),Sdry. Sub. Util.1103 (315 kVA),Sdry. Sub. Util.1105 (800 kVA)
3.499863109846363329e+01,5.100049172468632008e+01,4.121696416726556578e+01,5.393396248834477547e+01
3.807240011540535818e+01,5.391410452307090395e+01,4.647487918221781200e+01,5.363918726584918772e+01
3.772555757220720096e+01,6.424570949821215038e+01,4.506190459648372126e+01,5.993567851770347232e+01
3.519045543136851251e+01,5.923837214881851310e+01,4.166594127670759207e+01,5.839824003795760632e+01
3.406822150354402368e+01,5.697021756028961903e+01,3.905970763769308007e+01,5.528157348319805919e+01
3.118838772089902633e+01,5.428742732527258141e+01,3.728673720399728353e+01,5.120488465167917980e+01
3.053354755283254107e+01,5.178725362964505052e+01,4.055782299040072303e+01,4.896703546380112471e+01
2.742693142247073013e+01,4.738190121707098257e+01,3.674925830217556211e+01,4.249154384835755849e+01
2.623156213668064041e+01,4.101330944155299818e+01,3.385708551883571005e+01,3.549491800228244642e+01
2.521668776293033076e+01,3.696723943831069903e+01,3.252105867272369721e+01,3.351998824198611970e+01
2.763884157071822045e+01,3.949888427862295970e+01,3.573096602083820983e+01,3.722419910276292399e+01
2.592094608493401608e+01,3.726644515858855300e+01,3.074511624445187152e+01,3.456290396222936323e+01
3.190440343658166000e+01,4.917203582149861774e+01,3.998309686996208256e+01,4.575275100396973471e+01
3.424325961508615279e+01,5.886674489352267869e+01,4.636378789236938047e+01,5.506450900150483818e+01
3.969656782463935230e+01,6.302377720964567942e+01,5.658722334770300222e+01,6.016578564033431320e+01
3.847958627566041656e+01,6.128367937745475302e+01,5.866465519667871575e+01,5.860949075410916720e+01
3.482048914122228922e+01,5.478620000190071693e+01,4.959359734890389859e+01,5.095093479466918041e+01
3.405818458551089378e+01,5.577605150873219486e+01,4.713657875972213418e+01,5.019410082169859066e+01
2.758112826720881827e+01,4.321901470137423473e+01,3.889654304378451855e+01,3.993755025473699760e+01
2.552815529182110410e+01,4.279075350661153010e+01,3.634097967161156362e+01,3.733651922007434365e+01
2.581580639313095915e+01,4.060525536915696421e+01,3.273745946236859083e+01,3.796547308138477916e+01
2.470049911442661994e+01,4.209206289656959399e+01,2.984477715355528105e+01,3.640293383859270193e+01
2.353727729185953166e+01,4.063428917894750469e+01,2.891691404124907194e+01,3.348928703860953249e+01
2.323916968415519335e+01,3.994344400578164311e+01,3.283800879151257135e+01,3.213148566631420522e+01
2.502725782666170673e+01,4.229342523381693297e+01,4.015696587477548007e+01,3.281681252870966858e+01
2.481223361645686865e+01,4.550444445132851712e+01,3.841886407240004075e+01,3.610822242491230583e+01
2.577091096104601675e+01,4.879332094034862166e+01,3.566592771441405318e+01,3.711181540706790827e+01
2.756552070770142748e+01,5.041985598818428826e+01,3.372952902710554923e+01,4.064232559417901314e+01
2.915691631982683418e+01,5.492808791790056944e+01,3.794811525486820614e+01,4.281696616165302061e+01
3.024611512916803591e+01,5.620160942469981791e+01,3.964186248262158330e+01,4.459632602900028076e+01
3.192555133200871609e+01,5.958966631023226057e+01,4.692235314180709338e+01,4.896438366056317903e+01
3.346024338954348565e+01,6.257037999841710985e+01,4.816667250932208333e+01,5.484971596251528325e+01
4.290248947322038475e+01,7.546308759429257407e+01,6.809438178096330319e+01,6.926686899591729230e+01
4.490004933872007342e+01,7.392529717244111964e+01,6.611501486975140551e+01,7.437354993699207739e+01
5.430469038343775168e+01,8.586312928759248564e+01,8.190563443626867013e+01,8.731906741871205213e+01
5.507448124211603613e+01,8.812854691205720314e+01,8.907350895173937033e+01,9.073203808152995009e+01
5.792932417048621119e+01,9.742151889835081136e+01,9.252557749589720970e+01,9.276356926011087012e+01
5.815705171019143194e+01,9.898710841007388694e+01,9.712466764854416112e+01,9.249115174085656577e+01
5.465141610825072149e+01,9.178283156034790125e+01,9.320463619317442294e+01,8.574922568966127301e+01
5.434983126303545475e+01,9.256006481944208986e+01,9.024202562598800625e+01,8.714519211551309752e+01
5.086479781255535926e+01,9.105419210434844501e+01,8.268771681943981378e+01,8.727121970041707755e+01
5.073709062757502153e+01,9.234940664604329186e+01,7.953102847001797215e+01,9.478633994961691656e+01
4.736520396469820327e+01,8.790928005399570111e+01,7.648725628005080068e+01,9.423894763068801694e+01
4.520289658433279101e+01,8.382229430650494351e+01,7.556143663520803955e+01,8.579869223316211446e+01
3.974231997972653829e+01,6.894902905613653843e+01,6.047416091027532303e+01,7.014124527594412939e+01
3.688182862022647157e+01,6.518627224973079137e+01,5.429082305947684262e+01,6.282170204712402040e+01
3.486435625868022470e+01,5.638561240208595393e+01,4.523535333703330252e+01,5.126480885949327870e+01
3.451597527808813481e+01,5.464968371411558934e+01,4.295561308003959056e+01,4.840847634323368709e+01
