0% quantile: LV Network: 1108,25% quantile: LV Network: 1108,50% quantile: LV Network: 1108,75% quantile: LV Network: 1108,100% quantile: LV Network: 1108,0% quantile: LV Network: 1109,25% quantile: LV Network: 1109,50% quantile: LV Network: 1109,75% quantile: LV Network: 1109,100% quantile: LV Network: 1109,0% quantile: LV Network: 1151,25% quantile: LV Network: 1151,50% quantile: LV Network: 1151,75% quantile: LV Network: 1151,100% quantile: LV Network: 1151,0% quantile: LV Network: 1158,25% quantile: LV Network: 1158,50% quantile: LV Network: 1158,75% quantile: LV Network: 1158,100% quantile: LV Network: 1158,0% quantile: LV Network: 1175,25% quantile: LV Network: 1175,50% quantile: LV Network: 1175,75% quantile: LV Network: 1175,100% quantile: LV Network: 1175
1.058833685273659508e+00,1.066351063192293447e+00,1.069241870998004496e+00,1.072638363257214067e+00,1.076884360537030627e+00,1.047912780666428789e+00,1.053447265898868945e+00,1.059712092611123202e+00,1.065958339984584224e+00,1.078975165282431981e+00,1.036457725542127672e+00,1.049407976368135209e+00,1.056109627936993478e+00,1.063318127201314356e+00,1.071819002824015765e+00,1.022213454412241873e+00,1.039920784063406156e+00,1.051179759178219930e+00,1.054590034309859758e+00,1.059815204737653005e+00,1.027167943014718698e+00,1.044584154892062244e+00,1.047740067917475759e+00,1.049890527183262368e+00,1.055422014690498234e+00
1.057929769717564472e+00,1.065629737017532719e+00,1.068610510391307056e+00,1.072074861986190619e+00,1.076393308704586049e+00,1.046950042522868385e+00,1.052396513501690833e+00,1.059061711311607201e+00,1.065095110326172767e+00,1.078443637711642644e+00,1.035049247920641680e+00,1.048726790066699888e+00,1.055143982707490435e+00,1.062489231475579832e+00,1.071167004756222729e+00,1.020404194813290255e+00,1.038604567037024307e+00,1.050093076400727243e+00,1.053625710066798282e+00,1.058938980690214082e+00,1.025715163593801771e+00,1.043168914654061030e+00,1.046546739371066348e+00,1.048787102631334012e+00,1.054405298604684349e+00
1.061146620442838584e+00,1.067948243382091489e+00,1.070449124633167770e+00,1.073282896714524481e+00,1.077347115342162986e+00,1.052375738488851464e+00,1.054397365976706302e+00,1.060139576708720277e+00,1.065514178525944988e+00,1.078259379590197797e+00,1.038995792884009450e+00,1.051285675849293888e+00,1.058084872914238916e+00,1.064355370780609267e+00,1.072842234081465174e+00,1.022704651604978698e+00,1.042879059105017658e+00,1.052887719355517282e+00,1.056192964313850124e+00,1.061270656353085817e+00,1.034590153308960536e+00,1.046073421453558527e+00,1.049287571385974172e+00,1.052819223407789329e+00,1.055783038702077237e+00
1.061510059829921193e+00,1.068218438858905772e+00,1.070706225000738643e+00,1.073521094582883251e+00,1.077544296867368301e+00,1.052821624494894692e+00,1.054795679051413249e+00,1.060459570329912227e+00,1.065814440080657732e+00,1.078473932287424386e+00,1.039560424391584359e+00,1.051720430233746395e+00,1.058471382361304558e+00,1.064694407707059698e+00,1.073078575178925798e+00,1.023433390073887228e+00,1.043395843357022290e+00,1.053324768167861913e+00,1.056589970209325102e+00,1.061622995044875895e+00,1.035220016600420845e+00,1.046557918426490152e+00,1.049748268258099859e+00,1.053250353666896011e+00,1.056184324391006069e+00
1.061625305957348164e+00,1.068510483334189409e+00,1.070771946381329887e+00,1.073353240441775158e+00,1.077660023260855304e+00,1.053981005829717210e+00,1.056220486489202193e+00,1.061640328065544647e+00,1.065795593334535329e+00,1.077214548444907383e+00,1.039699795607752053e+00,1.052326515566671450e+00,1.059315320178180198e+00,1.064617487886790448e+00,1.073284365957545505e+00,1.022544625107320693e+00,1.043161475989808240e+00,1.053678186609582568e+00,1.057249671055826790e+00,1.062201489891925421e+00,1.035948431502797806e+00,1.045699500358492129e+00,1.049794463769344599e+00,1.053593838331144728e+00,1.056704727279613065e+00
1.062065864241074742e+00,1.068826469997180784e+00,1.071082199582253036e+00,1.073636102645539658e+00,1.077894082528493724e+00,1.054509752840897097e+00,1.056685984724464067e+00,1.062055264027315760e+00,1.066120738506951771e+00,1.077470210541956019e+00,1.040370740067186661e+00,1.052918181822577903e+00,1.059763328411274852e+00,1.064994884329486524e+00,1.073564944240586350e+00,1.023411711054358797e+00,1.043729236960012408e+00,1.054196699656217762e+00,1.057736491931459577e+00,1.062620121520253758e+00,1.036696339439407755e+00,1.046268922311747618e+00,1.050363690073444767e+00,1.054105006289917768e+00,1.057167812317414635e+00
1.058280582072066878e+00,1.066486025664813431e+00,1.069091094086555893e+00,1.071547441566890857e+00,1.076114313881440632e+00,1.050292225656219269e+00,1.053474921461083014e+00,1.058516281795334857e+00,1.064299620157684867e+00,1.075486816637845955e+00,1.035738120434358311e+00,1.048771806982009780e+00,1.056482172231963945e+00,1.061828990012270379e+00,1.071071692183736657e+00,1.018036589670048064e+00,1.039892937955940955e+00,1.050162092126397662e+00,1.053648116788721500e+00,1.059436735117313511e+00,1.031313855856341277e+00,1.042922724190722406e+00,1.046315903010936799e+00,1.050335895598425218e+00,1.053734718179014429e+00
1.058007829764716634e+00,1.066272727911933504e+00,1.068920015064179108e+00,1.071372779464448755e+00,1.075969114248552794e+00,1.049964868818996644e+00,1.053179633445822105e+00,1.058247829120859684e+00,1.064100169640995963e+00,1.075328049569510336e+00,1.035322558892876277e+00,1.048450435225153354e+00,1.056204601258114995e+00,1.061623274117235782e+00,1.070897517632260154e+00,1.017500174077967001e+00,1.039513164289312508e+00,1.049836236945375534e+00,1.053347909344221067e+00,1.059177747443462048e+00,1.030851410158281745e+00,1.042568072174196780e+00,1.045959015441908946e+00,1.050020002275970032e+00,1.053448505279023228e+00
1.055134470168445082e+00,1.065131303582544042e+00,1.067771579973083362e+00,1.070517649453984532e+00,1.075082562970589795e+00,1.047989890568836957e+00,1.052008547052275311e+00,1.056749374413937348e+00,1.063083698211352734e+00,1.074542594291691078e+00,1.033360877261876087e+00,1.045705573376405573e+00,1.054281077346035378e+00,1.060882156442914503e+00,1.069460956146846220e+00,1.014433276895640557e+00,1.037236487458058853e+00,1.048153645080958984e+00,1.051780178918357178e+00,1.057843932279170840e+00,1.026948073288135088e+00,1.041236829008954867e+00,1.043987365195722328e+00,1.047925434917274634e+00,1.051585748041268920e+00
1.053367240751338363e+00,1.063856975043356190e+00,1.066440462530397149e+00,1.069319534389313597e+00,1.074124452421403531e+00,1.045798505618479979e+00,1.050082259014633923e+00,1.055015097675910507e+00,1.061570069128655147e+00,1.073433866342806686e+00,1.030539521489862276e+00,1.043648561690944998e+00,1.052528506895098914e+00,1.059409623851190307e+00,1.068283103329177086e+00,1.010980875308588267e+00,1.034838734787754344e+00,1.045938282357684601e+00,1.049792139390100187e+00,1.056078752061506698e+00,1.023789631265546340e+00,1.038793664709710907e+00,1.041573417894812392e+00,1.045764564117018347e+00,1.049612218520093121e+00
