MV voltage: 0.0% quantile,MV voltage: 25.0% quantile,MV voltage: 50.0% quantile,MV voltage: 75.0% quantile,MV voltage: 100.0% quantile
1.013177133226726090e+00,1.024977042462741128e+00,1.031378162012505317e+00,1.034269401210511807e+00,1.037544715606730117e+00
1.012285840926852476e+00,1.024359853236917139e+00,1.030898898172013745e+00,1.033857295252392561e+00,1.037204412344069127e+00
1.014424040753385325e+00,1.025941558214696681e+00,1.032025574960574676e+00,1.034838243857138407e+00,1.038006889300307156e+00
1.014782883636031530e+00,1.026189620895925358e+00,1.032218727964390848e+00,1.035003662051485751e+00,1.038143323445998245e+00
1.014894633962869275e+00,1.026316489352900874e+00,1.032287046755594462e+00,1.035066680243570403e+00,1.038209443432806856e+00
1.015320877540758504e+00,1.026611007214018656e+00,1.032516311459283243e+00,1.035262959174338304e+00,1.038371239217239506e+00
1.012299120568100008e+00,1.024477349640379842e+00,1.030864705322744657e+00,1.033860785067049815e+00,1.037178302881747172e+00
1.012035695073857378e+00,1.024294950809294891e+00,1.030722573783397600e+00,1.033738863514653383e+00,1.037077585540164826e+00
1.010468023457784525e+00,1.023244836395724500e+00,1.029891086027945102e+00,1.033005729226522451e+00,1.036475829981982733e+00
1.008679235477518921e+00,1.021999521566091529e+00,1.028919829000914055e+00,1.032172974798335030e+00,1.035782809570854113e+00
1.014219715080093120e+00,1.028999260065067478e+00,1.036784414587601733e+00,1.040453747795494488e+00,1.044441293845089769e+00
1.014413009105385788e+00,1.029133792933640601e+00,1.036882537285859884e+00,1.040540576609946921e+00,1.044511894977938171e+00
1.003027715598319158e+00,1.021270241090575848e+00,1.030901241025133475e+00,1.035174809556159037e+00,1.040179237440942428e+00
1.001433969369762478e+00,1.020145660964892897e+00,1.029985805232211060e+00,1.034376244002319201e+00,1.039501713173782926e+00
9.968622787855105916e-01,1.020127425497203699e+00,1.032379939491848919e+00,1.037696687746619606e+00,1.044068797299452678e+00
9.981557184994317433e-01,1.021063927409231242e+00,1.033032437840367024e+00,1.038289043180605997e+00,1.044558554117847260e+00
9.963265551732820580e-01,1.017083516869818904e+00,1.026934104392987601e+00,1.031884628201806819e+00,1.037230143143384353e+00
1.003045576583334819e+00,1.021080227205366509e+00,1.030663638615070710e+00,1.035151570683193967e+00,1.039965671651034373e+00
1.011721409358304902e+00,1.023748297919607753e+00,1.030339311436759386e+00,1.033387911923802749e+00,1.036722503325024469e+00
1.018543988124088973e+00,1.028389701688415148e+00,1.033986205741242115e+00,1.036512121212393556e+00,1.039292004508351352e+00
1.018856570807762596e+00,1.030346056627326812e+00,1.035505645337854386e+00,1.037748346818197831e+00,1.040321117156517650e+00
1.019056322416692195e+00,1.033611323668669701e+00,1.038156264047312094e+00,1.039976789446501959e+00,1.042207476004825661e+00
1.019391945127732457e+00,1.039057181748621161e+00,1.042396803639131786e+00,1.043610581732292264e+00,1.045037507196471038e+00
1.019544211658741650e+00,1.041716018592623527e+00,1.044500877621056034e+00,1.045350909874484646e+00,1.046466206857682879e+00
1.019553850119964578e+00,1.031108732225679780e+00,1.033744144725298408e+00,1.034542369166810527e+00,1.035745886157915185e+00
1.019642478860521173e+00,1.032829786498148605e+00,1.034997300555724475e+00,1.035581517775542526e+00,1.036611512399083335e+00
1.019653298085550608e+00,1.032994046791179343e+00,1.035075860729980590e+00,1.035672149610795678e+00,1.036621083275489630e+00
