Prmy. Sub. Util.,Sdry. Sub. Util.1108 (800 kVA),Sdry. Sub. Util.1109 (315 kVA),Sdry. Sub. Util.1151 (800 kVA),Sdry. Sub. Util.1158 (800 kVA),Sdry. Sub. Util.1175 (800 kVA)
2.217616887332709652e+01,2.476454715906621828e+01,2.527847800769279374e+01,2.909502056656885927e+01,2.388170709621785903e+01,1.797133694499809664e+01
2.268483001294476153e+01,2.526543552560859140e+01,2.579926020642726670e+01,2.972290328181482266e+01,2.437068336378692024e+01,1.832762128840157345e+01
2.151443205794093316e+01,2.357381180546489219e+01,2.407371435330941623e+01,2.793103357701422240e+01,2.274864302140904471e+01,1.689555037969049422e+01
2.130866655134949283e+01,2.337169256798575745e+01,2.386369475745508595e+01,2.767783616811130187e+01,2.255141726571457639e+01,1.675191293250230729e+01
2.122869086114359760e+01,2.323299968370330504e+01,2.375207345742464327e+01,2.750318235990919646e+01,2.240767939633059669e+01,1.666662683205720796e+01
2.098403306813866465e+01,2.299237831022722389e+01,2.350218234182269939e+01,2.720194969858362910e+01,2.217285796094773076e+01,1.649561803413756422e+01
2.274655615083177906e+01,2.469290579932537710e+01,2.528560074556922643e+01,2.935388684142244031e+01,2.381479408584862512e+01,1.762559084682594701e+01
2.289666617023956263e+01,2.484056089716469629e+01,2.543920204365224080e+01,2.953916345854370462e+01,2.395899202499674985e+01,1.773053756050094520e+01
2.376497724150640423e+01,2.574297025530469085e+01,2.576566020995671380e+01,3.089877292130921305e+01,2.468903440814217731e+01,1.826816255608913409e+01
2.478362669613590086e+01,2.672386830068756680e+01,2.674062327376190140e+01,3.214076160143672922e+01,2.564276941014493616e+01,1.894505868585228470e+01
2.794423452223393411e+01,3.019715235624405025e+01,3.021983663433088552e+01,3.628378913985432774e+01,2.896442320437717299e+01,2.123355381755374793e+01
2.785162554217987463e+01,2.998176737519769119e+01,3.007097862487506390e+01,3.599921439447941651e+01,2.890395120947081509e+01,2.108996243521682956e+01
3.385242188929311880e+01,3.707352753815207791e+01,3.720123021980141687e+01,4.440279040824403722e+01,3.585716354369957060e+01,2.617072187489988622e+01
3.478076678671843780e+01,3.777088853567537541e+01,3.819917284732605367e+01,4.545397444221757155e+01,3.655054417293237634e+01,2.667580659715765279e+01
4.280920375019068302e+01,4.727885258981740435e+01,4.698967173452400914e+01,5.763705254197368077e+01,4.547520746003680614e+01,3.424873700396401688e+01
4.221797940564207607e+01,4.577192865314211900e+01,4.602053790025384217e+01,5.693722699546610500e+01,4.451022606979323371e+01,3.363144199190097794e+01
3.770138430470760227e+01,3.999227664330132370e+01,4.147911686307649148e+01,5.078462182278840942e+01,3.952893970488590725e+01,2.871482784516491904e+01
3.408441030905598268e+01,3.556342885561203815e+01,3.678263238238691457e+01,4.559039568449368574e+01,3.624148429021868623e+01,2.650582983343909760e+01
2.340196705333519844e+01,2.254265551877972484e+01,2.512660267683382642e+01,3.059697523088772897e+01,2.456291357546079013e+01,1.778104450743182952e+01
