0% quantile: LV Network: 1101,25% quantile: LV Network: 1101,50% quantile: LV Network: 1101,75% quantile: LV Network: 1101,100% quantile: LV Network: 1101,0% quantile: LV Network: 1110,25% quantile: LV Network: 1110,50% quantile: LV Network: 1110,75% quantile: LV Network: 1110,100% quantile: LV Network: 1110,0% quantile: LV Network: 1116,25% quantile: LV Network: 1116,50% quantile: LV Network: 1116,75% quantile: LV Network: 1116,100% quantile: LV Network: 1116,0% quantile: LV Network: 1117,25% quantile: LV Network: 1117,50% quantile: LV Network: 1117,75% quantile: LV Network: 1117,100% quantile: LV Network: 1117,0% quantile: LV Network: 1137,25% quantile: LV Network: 1137,50% quantile: LV Network: 1137,75% quantile: LV Network: 1137,100% quantile: LV Network: 1137
1.073741337755650838e+00,1.080194614520524787e+00,1.082830729925004176e+00,1.086151283721615846e+00,1.090577299050143001e+00,1.057110890320379859e+00,1.073873807176449979e+00,1.080227228129412298e+00,1.081755537905676468e+00,1.085423891117934359e+00,1.057709994038512402e+00,1.077284813785595041e+00,1.080108136332023072e+00,1.084235596200670226e+00,1.087419692841998575e+00,1.074339656788693365e+00,1.079366319522242268e+00,1.081461021508533626e+00,1.084494133323022025e+00,1.088592252560401041e+00,1.065822944575815168e+00,1.075482570819486838e+00,1.079386990242602984e+00,1.081904482534703948e+00,1.088591661744027217e+00
1.073773518008636962e+00,1.080226600511576596e+00,1.082862638196492311e+00,1.086183094999378040e+00,1.090608977517041112e+00,1.057143536444386189e+00,1.073905946564142955e+00,1.080259175390347437e+00,1.081787439990178346e+00,1.085455685336818688e+00,1.057742680612460573e+00,1.077316908889372815e+00,1.080140147044057031e+00,1.084267486809690650e+00,1.087451488182682890e+00,1.074371867337263975e+00,1.079398383033377096e+00,1.081493020341605327e+00,1.084526043282844299e+00,1.088624039626170159e+00,1.065869579551541602e+00,1.075528784470061394e+00,1.079433037298300757e+00,1.081950420130598278e+00,1.088637308783045654e+00
1.076896175888196749e+00,1.083879786236129572e+00,1.086965059212582130e+00,1.088205546215395225e+00,1.090468776587849797e+00,1.074571515492023677e+00,1.080234872837949833e+00,1.082969869256821260e+00,1.084262988683404760e+00,1.087207709713762016e+00,1.069534950240046189e+00,1.080440979800345369e+00,1.083360515924909784e+00,1.086992234999929696e+00,1.089643905573596472e+00,1.079097489900855411e+00,1.083100260227776612e+00,1.084828830179327408e+00,1.086935522810692722e+00,1.089086305321001813e+00,1.073605822579804858e+00,1.080103320421762714e+00,1.082995879217191204e+00,1.084890256061276981e+00,1.090113856782998436e+00
1.076909942485746896e+00,1.083893471042198797e+00,1.086978709464634152e+00,1.088219180256441376e+00,1.090482383790831511e+00,1.074585266565723396e+00,1.080248562761274567e+00,1.082983525635541788e+00,1.084276630057640745e+00,1.087221315016142720e+00,1.069548826178305934e+00,1.080454726916009633e+00,1.083374228966163866e+00,1.087005905445464826e+00,1.089657543771216375e+00,1.079111285240698326e+00,1.083114007867042705e+00,1.084842557715214983e+00,1.086949224075983045e+00,1.089099980917985766e+00,1.073625683688119281e+00,1.080123076412902172e+00,1.083015587578711081e+00,1.084909930597512062e+00,1.090133447043824200e+00
1.077000757636964678e+00,1.084556695959379091e+00,1.087130041387642132e+00,1.088614824818003202e+00,1.090665128767134728e+00,1.074113900777773134e+00,1.081052913785212510e+00,1.083187608476063879e+00,1.085337446657399063e+00,1.087637120157315618e+00,1.069754838335845504e+00,1.080946632432018051e+00,1.083613299355298931e+00,1.087467607944996306e+00,1.089817219736294751e+00,1.078561202294771482e+00,1.083438471310338880e+00,1.085680767656635126e+00,1.087404093373863567e+00,1.089530481457009703e+00,1.074815725246170084e+00,1.080516824587862246e+00,1.083732839908468693e+00,1.085317202329735942e+00,1.090318080784521193e+00
1.076994041037591332e+00,1.084550021899006289e+00,1.087123382418036854e+00,1.088608174305627285e+00,1.090658490351670284e+00,1.074107130752064432e+00,1.081046187547391124e+00,1.083180896009430016e+00,1.085330746781520750e+00,1.087630434074787100e+00,1.069748094049170151e+00,1.080939954165765826e+00,1.083606636096656750e+00,1.087460966530752637e+00,1.089810592310760162e+00,1.078554532689833367e+00,1.083431830200255241e+00,1.085674139247214676e+00,1.087397475110558620e+00,1.089523875688096943e+00,1.074805819417606889e+00,1.080506963459922254e+00,1.083723005533385297e+00,1.085307381496954715e+00,1.090308298895459549e+00
1.076521173961633826e+00,1.084954097487601077e+00,1.087046107145207330e+00,1.088796170723507206e+00,1.090781792674927697e+00,1.075719479250159427e+00,1.081259191803564557e+00,1.083071935957452325e+00,1.085090515392144628e+00,1.087865441766775465e+00,1.073071691777352621e+00,1.081221192786406826e+00,1.083803715946110691e+00,1.087705442867235028e+00,1.090212154881943007e+00,1.079488176620855944e+00,1.083493855851181742e+00,1.085858146492993281e+00,1.087505878914851509e+00,1.089484684602002984e+00,1.074923241745168845e+00,1.080094875844544333e+00,1.083942846035101049e+00,1.085317158904215429e+00,1.089970916923568511e+00
1.076533795826279727e+00,1.084966628549233869e+00,1.087058616884040374e+00,1.088808659987100302e+00,1.090794259847634562e+00,1.075732106557463874e+00,1.081271755184296079e+00,1.083084479372337539e+00,1.085103038251005625e+00,1.087877932644729428e+00,1.073084365267721774e+00,1.081233774255661917e+00,1.083816262762490545e+00,1.087717947768681803e+00,1.090224633146865685e+00,1.079500778320825694e+00,1.083506413973548410e+00,1.085870679216313972e+00,1.087518393573371434e+00,1.089497176104391230e+00,1.074941575551375372e+00,1.080113128571515979e+00,1.083961038994534887e+00,1.085335331180180996e+00,1.089989017619043654e+00
1.065779310718174333e+00,1.073005411768939599e+00,1.075264379938879244e+00,1.076885115329438092e+00,1.078875930777444481e+00,1.062793690171311312e+00,1.069794094664186179e+00,1.071861717347335707e+00,1.073116904903004043e+00,1.076732414481959443e+00,1.064972563610281142e+00,1.067893334798414973e+00,1.072248040723130957e+00,1.075743890490172383e+00,1.078345714933597099e+00,1.064340274979087120e+00,1.071649972471369727e+00,1.074106071825184472e+00,1.075757490632435864e+00,1.077846472409092371e+00,1.059404371082876661e+00,1.067878929478979888e+00,1.072169775938762948e+00,1.073841636150569823e+00,1.078008462639252540e+00
1.066010488889140184e+00,1.073235019493009590e+00,1.075493509530331071e+00,1.077113898256656377e+00,1.079104278100579073e+00,1.063025537508455853e+00,1.070024429512502540e+00,1.072091598420286118e+00,1.073346518103442726e+00,1.076961246653914905e+00,1.065203896394232297e+00,1.068124051234513150e+00,1.072477814064387580e+00,1.075972908387084370e+00,1.078574179910200881e+00,1.064571726303239485e+00,1.071879850468570039e+00,1.074335419977931361e+00,1.075986483886300693e+00,1.078075024488045264e+00,1.059744974000476292e+00,1.068216833066184090e+00,1.072506289059311113e+00,1.074177635038698675e+00,1.078343152330169197e+00
1.062746005454428655e+00,1.070690320452978739e+00,1.074145632942167250e+00,1.075826384726117357e+00,1.079064675395864814e+00,1.059155483497560502e+00,1.067710437862019912e+00,1.069194363957374216e+00,1.071971109222014329e+00,1.076140685614500381e+00,1.059995135392231003e+00,1.066263534225590837e+00,1.071354466636510683e+00,1.074471696817269617e+00,1.077151690478001633e+00,1.064401972797053286e+00,1.069796505877379733e+00,1.071900049969158886e+00,1.074732898862166719e+00,1.077158315259772126e+00,1.060065064901476450e+00,1.067585578676718328e+00,1.070003027523336314e+00,1.072383967516135517e+00,1.075791295644406675e+00
1.063840901730599864e+00,1.071776911616312944e+00,1.075228708981514458e+00,1.076907768419385736e+00,1.080142779025908384e+00,1.060254199116830609e+00,1.068800258575674178e+00,1.070282632145526325e+00,1.073056485635889512e+00,1.077221801037929971e+00,1.061092883690686550e+00,1.067354709490790254e+00,1.072440413319293295e+00,1.075554453132857802e+00,1.078231750591377436e+00,1.065495028915955933e+00,1.070883983139414575e+00,1.072985382152045197e+00,1.075815346244602733e+00,1.078238306002062830e+00,1.061677027230821801e+00,1.069185947544975424e+00,1.071599568620877463e+00,1.073977117626937927e+00,1.077379315034782570e+00
1.054700718966673056e+00,1.064427806877394023e+00,1.068496971483390512e+00,1.072662644288427725e+00,1.076945881841928854e+00,1.045662146515011548e+00,1.058742932687651184e+00,1.062677803194314929e+00,1.065464028713059896e+00,1.071062339732953506e+00,1.048396931942364052e+00,1.057344330999514082e+00,1.065334718490610344e+00,1.069862613757975867e+00,1.073600249975628085e+00,1.051324728969271094e+00,1.061581773533859518e+00,1.066572639209666828e+00,1.070017403426821501e+00,1.074202582185244559e+00,1.051413821483400346e+00,1.060534846744991100e+00,1.063201252829748089e+00,1.066957378739300744e+00,1.073015818924228482e+00
1.055746614775600722e+00,1.065463771709505014e+00,1.069528845348384438e+00,1.073690586482020537e+00,1.077969599810635559e+00,1.046717437916705240e+00,1.059784799519406739e+00,1.063715605555872301e+00,1.066499001098351496e+00,1.072091933044804657e+00,1.049449023904020617e+00,1.058387578806500029e+00,1.066369867299990837e+00,1.070893238746383869e+00,1.074627286381250935e+00,1.052373898655348361e+00,1.062620591005263737e+00,1.067606460616831843e+00,1.071047902106420979e+00,1.075228757169836458e+00,1.052954858320544806e+00,1.062062264119101984e+00,1.064724545237311526e+00,1.068475313001328253e+00,1.074525180411774583e+00
1.052806179258267250e+00,1.067010682432090629e+00,1.071199301838964058e+00,1.075534327369528809e+00,1.081855806945940301e+00,1.036518491055568925e+00,1.054324762756314371e+00,1.060790038968731253e+00,1.066788849402207084e+00,1.076383357057213219e+00,1.037266200153700746e+00,1.051918813808863762e+00,1.064713700295391474e+00,1.072860221732075292e+00,1.079273646300355827e+00,1.041021536580037932e+00,1.059090201161508205e+00,1.069675175931811939e+00,1.073704550738787677e+00,1.079885013701731955e+00,1.023338308845600952e+00,1.056220374374039483e+00,1.063996325315655467e+00,1.070354280520833479e+00,1.080760322133500706e+00
