MV voltage: 0.0% quantile,MV voltage: 25.0% quantile,MV voltage: 50.0% quantile,MV voltage: 75.0% quantile,MV voltage: 100.0% quantile
1.019393279166643129e+00,1.039304793574490127e+00,1.042332435906615951e+00,1.043509585931148731e+00,1.045217905638778921e+00
1.019396450278257094e+00,1.039387092695988279e+00,1.042362812964389374e+00,1.043539923996389396e+00,1.045248171080116695e+00
1.019528841081288384e+00,1.041745730709336737e+00,1.044110450695785230e+00,1.045088117699370933e+00,1.046403705496037562e+00
1.019530175647861636e+00,1.041779118682307104e+00,1.044123476382789351e+00,1.045101164636246915e+00,1.046416665172022364e+00
1.019545249712595858e+00,1.042108122992918995e+00,1.044371407289936382e+00,1.045287133647204492e+00,1.046599157111134382e+00
1.019544595841986423e+00,1.042098171093391645e+00,1.044365046236041206e+00,1.045280777660344107e+00,1.046592782623248619e+00
1.019553182799745272e+00,1.042228030565893304e+00,1.044460168349018225e+00,1.045387743288701987e+00,1.046644590260453977e+00
1.019554403376346396e+00,1.042258841511513934e+00,1.044472101420794941e+00,1.045399673233941451e+00,1.046656500458714945e+00
1.019554385477265290e+00,1.031162734196725772e+00,1.033358532024310827e+00,1.034345121082466790e+00,1.035616665017904392e+00
1.019576959758351054e+00,1.031835933137434935e+00,1.033721426216814399e+00,1.034563512689718134e+00,1.036232685964282307e+00
1.019531682072641887e+00,1.031243598879337142e+00,1.033020677978840451e+00,1.033939434367576737e+00,1.036639174449413670e+00
1.019637780149593720e+00,1.032277733753608651e+00,1.034549184331639449e+00,1.035817676770508733e+00,1.040008304751101953e+00
1.019429946299812428e+00,1.028170515144905650e+00,1.031660821884341717e+00,1.033771524155223887e+00,1.040733792896979315e+00
1.019531564633714193e+00,1.029153412243537957e+00,1.032641228475885020e+00,1.034870038508557410e+00,1.043907445313489779e+00
1.019149804221385125e+00,1.033205757847353468e+00,1.038626627426975091e+00,1.042013447883873845e+00,1.053963931006593135e+00
1.019271078726321722e+00,1.034359052316876193e+00,1.039775618912828437e+00,1.043148295972429196e+00,1.057604811528609634e+00
1.019480732946915547e+00,1.037165156435785107e+00,1.042103285881712305e+00,1.045249605805806503e+00,1.061659734679565315e+00
1.018786662315737113e+00,1.026811901272924654e+00,1.031800371743428757e+00,1.034957914553077396e+00,1.053392846513924175e+00
1.020087318598001946e+00,1.034955572205969787e+00,1.038344342052104352e+00,1.040552373199782110e+00,1.063195274886964192e+00
