Prmy. Sub. Util.,Sdry. Sub. Util.1101 (800 kVA),Sdry. Sub. Util.1110 (800 kVA),Sdry. Sub. Util.1116 (800 kVA),Sdry. Sub. Util.1117 (1000 kVA),Sdry. Sub. Util.1137 (800 kVA)
9.965051494998634851e+00,1.212536122388689286e+01,1.499530163685430040e+01,1.305683988396710404e+01,1.206217089917625529e+01,1.397934589795137761e+01
9.913576902736215501e+00,1.212535579491814097e+01,1.499529205548454769e+01,1.305683255893865358e+01,1.206216574316712808e+01,1.397933349015563564e+01
7.945433799808016673e+00,9.714845082612407978e+00,1.179899959428949607e+01,1.039714917323496657e+01,9.751342453757242623e+00,1.114386818700811155e+01
7.922987114187804103e+00,9.714848818885419846e+00,1.179900510163043847e+01,1.039715389323120753e+01,9.751346513079147016e+00,1.114387609123340717e+01
7.643347880835973385e+00,9.398855465008033150e+00,1.136095552316098001e+01,1.017703438488675083e+01,9.446844673335924369e+00,1.074562030552089453e+01
7.654413642062095846e+00,9.398853717065691171e+00,1.136095296193974313e+01,1.017703218160149881e+01,9.446842821232396048e+00,1.074561636935515452e+01
7.545776846424720574e+00,9.218412477994492704e+00,1.112031570535395275e+01,1.000094266852497249e+01,9.315190944538169759e+00,1.061788052452572906e+01
7.525082107090319106e+00,9.218415493683126627e+00,1.112031992838775984e+01,1.000094645213610001e+01,9.315194262542084047e+00,1.061788692346020113e+01
7.563532123479548730e+00,9.441489663851367453e+00,1.123814683298397910e+01,1.011358673926951646e+01,9.530469617912016744e+00,1.109886653491148145e+01
7.179152082926393064e+00,9.441467530285923004e+00,1.123811099143373049e+01,1.011355717883487593e+01,9.530447579571609040e+00,1.109880996376878315e+01
7.848452021260166944e+00,1.105982457991437329e+01,1.320788915044154166e+01,1.198593776332756455e+01,1.128966330474517221e+01,1.302519294981317444e+01
6.015534379966686274e+00,1.105965390992533059e+01,1.320761379282702741e+01,1.198570546394109471e+01,1.128949360623245468e+01,1.302478519756722974e+01
8.990615516720994904e+00,1.725037819507635461e+01,2.041061819095179075e+01,1.881934843115017486e+01,1.759595720693057785e+01,2.009926017474056792e+01
7.251036580366482021e+00,1.724997443038371969e+01,2.040997733820743321e+01,1.881879643243028255e+01,1.759554889952761059e+01,2.009834163500818249e+01
1.272852580294201985e+01,2.697816298333090046e+01,3.217885351055620191e+01,2.930532209462506543e+01,2.699057391375892578e+01,3.184157234445421025e+01
1.075717042037637050e+01,2.697710070129146231e+01,3.217693231052833625e+01,2.930366921539040348e+01,2.698941399055129864e+01,3.183863235718313689e+01
7.378305214234366360e+00,2.472772916836809642e+01,2.885675134163764000e+01,2.663904197069789603e+01,2.531344482394932527e+01,2.925569902755528773e+01
6.025014728221647964e+00,2.473577859330680084e+01,2.887144393265246123e+01,2.665108338720569137e+01,2.532250598887057791e+01,2.927005989710151113e+01
3.681849825414547972e+00,1.704464306494865156e+01,1.994502828785454085e+01,1.841091170555434786e+01,1.724413651889629762e+01,2.017302358767148718e+01
5.306115114288130208e+00,1.704436723101350637e+01,1.994451441860399754e+01,1.841049278261384714e+01,1.724382491244866955e+01,2.017222523985512339e+01
5.745770533484095388e+00,1.891285017601176577e+01,2.207132265064208099e+01,2.086154877680509045e+01,1.961888343270259583e+01,2.279664197470017228e+01
6.050729450075713167e+00,1.891278476240735174e+01,2.207120592338784348e+01,2.086144659975310844e+01,1.961879676319884069e+01,2.279644659961964948e+01
9.640585407339466784e+00,1.688737432934808780e+01,2.004031656230239378e+01,1.846445435427593296e+01,1.704205400010343396e+01,2.021839433925127594e+01
9.436092315571253053e+00,1.688740628666050014e+01,2.004037059835298606e+01,1.846450177724852892e+01,1.704208833978550075e+01,2.021849070682869254e+01
1.169806106687711456e+01,1.814193067964363948e+01,2.129280533592883273e+01,2.001864138817234107e+01,1.854825144387160307e+01,2.138000616016744004e+01
1.142316798578672099e+01,1.814198486979969971e+01,2.129289036842803995e+01,2.001871890937661291e+01,1.854831078413521794e+01,2.138014916751998484e+01
1.040480265713822483e+01,1.961980214580291815e+01,2.291955930958975429e+01,2.114750208088193162e+01,1.972947279047998848e+01,2.292405707230033940e+01
1.250672799470434526e+01,1.961934799770456905e+01,2.291881043631133252e+01,2.114684831072280602e+01,1.972898624134175449e+01,2.292281195756726575e+01
9.193717022968693087e+00,2.082474304946089561e+01,2.491641018641734107e+01,2.209067560085638604e+01,2.104320469816647687e+01,2.382688221357922842e+01
8.549241852157871691e+00,2.082491446504178256e+01,2.491670640719817698e+01,2.209091456883343341e+01,2.104337307401774027e+01,2.382731342623175053e+01
7.709468564020878212e+00,1.984860008813956256e+01,2.434519840805702273e+01,2.105645466562939561e+01,1.993783746644090726e+01,2.284801569531898124e+01
5.605944571719717828e+00,1.984908711493247324e+01,2.434612816752683884e+01,2.105719080939446997e+01,1.993830735732562331e+01,2.284926620157628818e+01
3.988996362632373671e+00,3.121652252926594073e+01,3.821997896594439226e+01,3.369032368386596943e+01,3.078646725588898292e+01,3.630909826824304076e+01
6.497677380386402746e+00,3.121832334347084270e+01,3.822338658585437088e+01,3.369321907942079974e+01,3.078816581704272437e+01,3.631347402507692834e+01
1.746159545903347521e+01,4.220729075267884411e+01,5.107696374849847132e+01,4.574891114009691506e+01,4.282999263859031913e+01,4.881224736563528666e+01
1.863390302561759171e+01,4.220910543267260095e+01,5.108014960000966198e+01,4.575161652376714017e+01,4.283175587687744468e+01,4.881635375302208502e+01
2.436616814607976877e+01,4.633593849590388913e+01,5.651741421618774552e+01,5.077181308033100038e+01,4.677419121683586667e+01,5.424136173501063496e+01
2.332916366559328125e+01,4.633393657379779995e+01,5.651359947031659203e+01,5.076866548149038039e+01,4.677220025660082570e+01,5.423649660240773329e+01
2.291937903346784111e+01,4.084078417084737112e+01,5.026191274703451484e+01,4.388502957245328417e+01,4.109906186265060057e+01,4.767885135383286865e+01
2.355169651102685080e+01,4.084168822490522643e+01,5.026372325157992549e+01,4.388645267278990048e+01,4.109996524122325212e+01,4.768112961090908186e+01
2.229138347519664975e+01,3.548108917253014027e+01,4.292441762861137988e+01,3.823330465724878025e+01,3.620012466410607033e+01,4.108805375930659665e+01
1.831001852826562981e+01,3.547677507862011481e+01,4.291659526766546406e+01,3.822705558098910927e+01,3.619583379112750521e+01,4.107788488775973690e+01
2.430049319742551717e+01,3.122921841895132644e+01,3.814408593155487637e+01,3.358400504862913749e+01,3.131317772686669443e+01,3.646887655183272869e+01
2.540652636554832711e+01,3.123017436907162292e+01,3.814585920473738412e+01,3.358548446153009337e+01,3.131413810311859436e+01,3.647118213977653767e+01
1.993181218918980946e+01,2.430167415394232222e+01,2.967445904983161498e+01,2.625544169158458629e+01,2.447536368445515720e+01,2.841857984354357214e+01
1.990353982139878042e+01,2.430166238461009343e+01,2.967443828755397917e+01,2.625542407739138895e+01,2.447535196111681799e+01,2.841855104171396462e+01
1.362090478714982744e+01,1.641867952763125516e+01,2.048934690955908877e+01,1.784397407468548380e+01,1.652667285337146907e+01,1.958824770779825997e+01
1.369468016527893184e+01,1.641869313919213624e+01,2.048937142391629962e+01,1.784399338234484844e+01,1.652668670895970493e+01,1.958828058821195484e+01
