0% quantile: LV Network: 1103,25% quantile: LV Network: 1103,50% quantile: LV Network: 1103,75% quantile: LV Network: 1103,100% quantile: LV Network: 1103,0% quantile: LV Network: 1109,25% quantile: LV Network: 1109,50% quantile: LV Network: 1109,75% quantile: LV Network: 1109,100% quantile: LV Network: 1109,0% quantile: LV Network: 1131,25% quantile: LV Network: 1131,50% quantile: LV Network: 1131,75% quantile: LV Network: 1131,100% quantile: LV Network: 1131,0% quantile: LV Network: 1145,25% quantile: LV Network: 1145,50% quantile: LV Network: 1145,75% quantile: LV Network: 1145,100% quantile: LV Network: 1145,0% quantile: LV Network: 1166,25% quantile: LV Network: 1166,50% quantile: LV Network: 1166,75% quantile: LV Network: 1166,100% quantile: LV Network: 1166
1.071384755440351277e+00,1.075333000874157507e+00,1.085194297407907849e+00,1.089591590671332266e+00,1.093034666469233862e+00,1.080324652693214427e+00,1.083130265502280309e+00,1.084176131643816543e+00,1.087390485922340222e+00,1.090422283797455982e+00,1.075335097050295063e+00,1.083329185625908408e+00,1.087881271180084486e+00,1.088781922302425542e+00,1.093065961859347457e+00,1.062900369151819291e+00,1.080706011778571174e+00,1.083649345598303171e+00,1.086670970517149559e+00,1.092219886593471356e+00,1.062527673788340676e+00,1.073323946918427474e+00,1.076708260511414661e+00,1.081049798276183083e+00,1.083546996400829077e+00
1.065786306844339615e+00,1.069315396205400059e+00,1.086956020009755663e+00,1.090815588238916334e+00,1.094742064083929378e+00,1.073862116455996940e+00,1.079829672136320973e+00,1.081916262749467839e+00,1.090307908917760082e+00,1.092621555909980557e+00,1.075475938667522113e+00,1.082109030141947148e+00,1.087265927064382298e+00,1.088362560930491441e+00,1.092432486033603656e+00,1.060950725424392616e+00,1.079776694156285632e+00,1.083993990176511879e+00,1.086256870668758756e+00,1.091853704704189632e+00,1.060208101945670833e+00,1.069920919592348918e+00,1.074638607414869718e+00,1.081466308421537459e+00,1.082803883262013045e+00
1.054087882187763281e+00,1.062464268252297117e+00,1.090038156129030211e+00,1.090560880782060593e+00,1.096506717512406137e+00,1.072379614187263464e+00,1.077597153574402000e+00,1.080798012241714012e+00,1.086222939717874425e+00,1.090623159052686919e+00,1.069706416716422748e+00,1.078510791286678039e+00,1.082056026305546759e+00,1.086964941077147362e+00,1.092006595235393673e+00,1.067686745810320748e+00,1.075996279776381126e+00,1.082493128285299200e+00,1.084725130602079091e+00,1.089116068409431648e+00,1.057863837794814854e+00,1.066921626066868356e+00,1.074015396837814329e+00,1.078342217135891623e+00,1.084063305997970517e+00
1.064724733878535723e+00,1.069871013225816903e+00,1.088875334395141836e+00,1.090396082757308260e+00,1.095054947277866342e+00,1.070961163775702163e+00,1.076237589618065815e+00,1.085218291079163455e+00,1.086302587801864838e+00,1.089972185678920180e+00,1.068790173124956278e+00,1.078888569945355869e+00,1.083046687861054735e+00,1.087560920096704908e+00,1.092875932069753642e+00,1.068365593994085927e+00,1.079568770644717013e+00,1.083864417070367070e+00,1.085785915273757674e+00,1.088980093882984779e+00,1.056902616249300486e+00,1.070562959176022177e+00,1.075555459821476934e+00,1.079599045919811484e+00,1.085378935798949840e+00
1.061633673509923659e+00,1.064621183423528628e+00,1.077110861462364788e+00,1.078521065455341876e+00,1.082253443494791023e+00,1.062071572930622265e+00,1.067168998253564371e+00,1.075285398026849748e+00,1.076205219544434488e+00,1.079486905403435060e+00,1.058371102998068247e+00,1.069622180611159434e+00,1.074217050332556100e+00,1.077170808493598031e+00,1.083031135276051105e+00,1.056584868652604481e+00,1.070391578518464115e+00,1.074554188239372099e+00,1.076088066803333909e+00,1.077931105298616465e+00,1.047685325147765356e+00,1.065164252970531411e+00,1.067073687851467945e+00,1.069405803914703190e+00,1.077376826189033077e+00
1.064561141273840494e+00,1.067113499277570821e+00,1.077594128343410063e+00,1.079877878891393639e+00,1.081346218387545521e+00,1.062851467598868060e+00,1.067905826980765305e+00,1.075919014263408968e+00,1.076595797278800504e+00,1.079892131856776682e+00,1.061095976066081192e+00,1.071028026069551053e+00,1.075396530478219148e+00,1.077630979720492377e+00,1.082581060973220044e+00,1.054975653146935199e+00,1.072958999881889142e+00,1.075054957791289123e+00,1.076942549594019249e+00,1.080310303825721352e+00,1.047706056657980778e+00,1.066870776997292936e+00,1.068781396624611357e+00,1.070641234663177066e+00,1.076337035729910907e+00
1.066638680195270972e+00,1.068250262493073421e+00,1.076654518327528010e+00,1.078498156092781102e+00,1.081807857513202409e+00,1.058788563087144752e+00,1.064310725268136970e+00,1.074466357572072095e+00,1.076556794548808149e+00,1.080051613192417159e+00,1.060312795897965232e+00,1.071656783610046126e+00,1.075565577389881344e+00,1.077926678157870466e+00,1.082124819935990967e+00,1.054873945752187403e+00,1.072229352349717058e+00,1.075295299499537283e+00,1.076697897516531777e+00,1.079568624919823083e+00,1.049340445579610481e+00,1.066688490325775174e+00,1.068962532330771431e+00,1.070303257688937526e+00,1.078652228801704638e+00
1.072572215902530823e+00,1.074694052075815698e+00,1.076189399361859200e+00,1.078104375920154512e+00,1.080248861410448180e+00,1.059675566376497624e+00,1.065192045236462270e+00,1.073270844064765583e+00,1.080054767074223543e+00,1.082582708139253391e+00,1.066520070421819177e+00,1.074559182852450112e+00,1.077200570575775895e+00,1.078829818083819614e+00,1.082214712400122680e+00,1.055015827603719369e+00,1.074836933546165829e+00,1.077020781284822704e+00,1.078038205369769909e+00,1.082623530292592839e+00,1.056439838759067662e+00,1.068809018379842213e+00,1.071330358317526432e+00,1.072610855185941681e+00,1.077225950458684078e+00
1.071767241711478746e+00,1.075353658034615023e+00,1.075807945608132865e+00,1.076368155395693194e+00,1.078797464545762752e+00,1.060844946180563353e+00,1.066462226340621156e+00,1.071607857014130527e+00,1.076958313781173793e+00,1.081248330716301442e+00,1.066725537288354619e+00,1.073942701297431412e+00,1.076825202944047266e+00,1.078176574994555548e+00,1.080412133155561616e+00,1.059478556516506575e+00,1.071759672376146444e+00,1.076458736663680860e+00,1.077510773320942361e+00,1.079966105869772930e+00,1.060680982373483072e+00,1.067936095115148865e+00,1.069820300338350183e+00,1.071453449510383349e+00,1.074301382133388882e+00
1.072675731463004878e+00,1.075990915763370692e+00,1.076984092652731206e+00,1.077846847758581417e+00,1.079894439642730131e+00,1.060737741663068778e+00,1.066615598853879465e+00,1.072761919186385748e+00,1.081804043086151079e+00,1.083217322107362657e+00,1.064103177372347053e+00,1.076441859852505400e+00,1.077751544709574461e+00,1.079310859423883606e+00,1.080909524716487269e+00,1.063134533402879445e+00,1.075234712109474522e+00,1.077804034573810910e+00,1.078620609334241198e+00,1.079839069518484074e+00,1.069119482659071085e+00,1.070960168267662160e+00,1.072323955713105459e+00,1.072922860642351317e+00,1.075367433611509105e+00
1.076013229515884406e+00,1.076735233460484498e+00,1.077372613518941868e+00,1.078411001485838794e+00,1.080114012827296133e+00,1.065482020952976061e+00,1.070714584623061683e+00,1.073387616474597905e+00,1.081456789294106047e+00,1.083065893403449831e+00,1.062873903992710201e+00,1.076545847661987576e+00,1.077419594377321266e+00,1.079150369127046316e+00,1.080895892614828879e+00,1.065868734609961344e+00,1.075829020156441329e+00,1.077465060341329384e+00,1.078354772347494661e+00,1.079572105995449283e+00,1.069317000528000383e+00,1.070747595965569232e+00,1.071947932614851995e+00,1.072889811528557891e+00,1.074025556544699667e+00
1.072358549965046981e+00,1.074940209170009986e+00,1.075814588330174404e+00,1.076316822135347628e+00,1.079208188042305006e+00,1.065916995520359123e+00,1.069917377239369749e+00,1.071318610470399557e+00,1.079891092667045083e+00,1.082346929130201030e+00,1.069102134705347984e+00,1.074409264958888777e+00,1.076759532701227151e+00,1.078043479663640669e+00,1.079320432404080599e+00,1.063580814646171824e+00,1.072015434762803698e+00,1.076694753661987747e+00,1.077361821311456636e+00,1.078490330948109754e+00,1.061643832478816218e+00,1.068223394504481671e+00,1.070297898910584689e+00,1.071519883290401376e+00,1.073563430179516942e+00
1.062798987786400806e+00,1.068923387970464045e+00,1.070030706060852932e+00,1.076372056885451123e+00,1.079036252746904179e+00,1.061032366512866032e+00,1.065458251576455684e+00,1.068499269245925642e+00,1.076442113748035334e+00,1.078655885558061911e+00,1.062041349080685482e+00,1.071442533019256960e+00,1.073148839300241963e+00,1.075463842206265674e+00,1.077333812057604590e+00,1.059432547650115186e+00,1.068085404294826013e+00,1.071739254518539131e+00,1.074179033602040256e+00,1.077353994578628793e+00,1.051034570918249367e+00,1.062221152731870344e+00,1.066469083409873786e+00,1.068365588335583372e+00,1.071390030395587445e+00
