MV voltage: 0.0% quantile,MV voltage: 25.0% quantile,MV voltage: 50.0% quantile,MV voltage: 75.0% quantile,MV voltage: 100.0% quantile
1.019526292909018972e+00,1.041950257242008959e+00,1.044391366269172394e+00,1.045240737791398589e+00,1.046538878331525702e+00
1.019530491390426841e+00,1.042136082885525505e+00,1.044498334173348253e+00,1.045289665319440120e+00,1.046616837294621183e+00
1.019499125271837725e+00,1.041530765825999794e+00,1.044005207569915994e+00,1.044881105388698384e+00,1.046264699161348011e+00
1.019541194164674813e+00,1.042205703137243145e+00,1.044531906115583997e+00,1.045356911724015347e+00,1.046571448880079691e+00
1.019605859458665886e+00,1.032263282997491149e+00,1.034340098750685000e+00,1.035114915580580774e+00,1.036123930346749766e+00
1.019637282672616996e+00,1.032861323283319255e+00,1.034761277958998305e+00,1.035492360579681748e+00,1.036427306935144399e+00
1.019635814822264397e+00,1.032852913342328982e+00,1.034762368945655986e+00,1.035486177445151590e+00,1.036429989023895271e+00
1.019680825460244300e+00,1.033614035107874418e+00,1.035331666542965490e+00,1.035971644340190068e+00,1.036800720184905433e+00
1.019633894263357821e+00,1.032720917388570747e+00,1.034701668229017324e+00,1.035420505870350727e+00,1.036379511330307146e+00
1.019683236267756143e+00,1.033670086577386016e+00,1.035392212041500670e+00,1.036021721835619358e+00,1.036858360770050558e+00
1.019677846141501032e+00,1.033521557040626870e+00,1.035285800448881632e+00,1.035916707473694132e+00,1.036775643483318188e+00
1.019627387717287004e+00,1.032654359407542355e+00,1.034658435182208347e+00,1.035395272931014077e+00,1.036369939505231486e+00
1.019517633585934391e+00,1.030571931146401887e+00,1.033106942916920623e+00,1.034030423007555211e+00,1.035269755388959823e+00
1.019331164910194598e+00,1.038204021866612869e+00,1.041571646070740265e+00,1.042828034668301207e+00,1.044457913144866579e+00
1.019215700603945285e+00,1.036227812413551996e+00,1.040153031240898418e+00,1.041657620569006015e+00,1.043539234293525020e+00
1.019043758189653426e+00,1.033270401248011394e+00,1.037952160595195794e+00,1.039718377272308647e+00,1.041977918214072263e+00
1.018879881313148328e+00,1.030325309053420568e+00,1.035807716887382712e+00,1.037774958451139540e+00,1.040394420723214530e+00
1.018399050206832968e+00,1.029325014025830987e+00,1.035077976932829547e+00,1.037179008953395876e+00,1.039953706825297974e+00
1.018953738781207541e+00,1.031681096169504652e+00,1.036841631566287614e+00,1.038696395443504006e+00,1.041153022099897907e+00
