Prmy. Sub. Util.,Sdry. Sub. Util.1103 (315 kVA),Sdry. Sub. Util.1109 (315 kVA),Sdry. Sub. Util.1131 (800 kVA),Sdry. Sub. Util.1145 (1000 kVA),Sdry. Sub. Util.1166 (500 kVA)
8.023956960766646773e+00,9.503443435758748947e+00,8.417725310571215758e+00,5.949151446867551485e+00,9.923304927582933033e+00,9.183450050126420905e+00
7.887678445506032254e+00,1.052734247266534240e+01,9.601183215784175218e+00,7.287759939003288778e+00,1.068008638754125172e+01,1.118543276198792213e+01
8.392539592008324334e+00,1.119748279622171694e+01,1.186122091345084506e+01,1.053962761939513904e+01,1.259745831913983949e+01,1.309767466878692055e+01
7.790250843461891783e+00,9.822028791968749672e+00,1.143896810060652136e+01,1.054962148510768571e+01,1.133257752106546157e+01,1.261998478655412903e+01
6.812722252995752292e+00,8.519131455305547718e+00,1.030089472251668781e+01,9.125396345794543507e+00,9.755666330710468515e+00,1.072416463436881173e+01
6.292808875191705731e+00,7.257209644228932888e+00,9.819763705015327915e+00,8.602530922994317208e+00,9.169542287459069740e+00,1.009001089715845545e+01
6.299021551329207824e+00,7.412413798744219129e+00,1.142880163053456322e+01,8.083792905131129913e+00,9.221268620707805397e+00,1.028414825712390623e+01
5.626301529497432341e+00,6.403486857189042425e+00,1.087706085945442247e+01,6.633011271722985214e+00,7.476507479184278715e+00,8.202745812607439291e+00
6.410583076212070353e+00,6.812665164911744675e+00,1.103170083422659076e+01,6.425634720216547358e+00,7.547197140851658936e+00,7.596435932295806381e+00
5.587157868291591001e+00,5.825674010551143311e+00,9.614079313852764486e+00,5.961984897530625105e+00,6.246733970059499264e+00,6.112958883435132940e+00
5.715256189452911251e+00,5.473241531396866755e+00,8.065632086239824972e+00,6.196428376074055500e+00,6.206752817154108648e+00,5.839205644307778442e+00
6.484937234258498329e+00,6.805445706010800677e+00,9.323869866515680727e+00,6.261298001420711579e+00,7.224302433053591876e+00,6.975203942083546771e+00
8.306233295477516876e+00,9.719603230137902727e+00,1.195562171922779093e+01,8.320647773053078566e+00,1.058884010640316653e+01,8.818178555620454162e+00
1.120936524258545219e+01,1.575258902832627506e+01,1.766702530799998883e+01,1.344878494535352509e+01,1.494368779376267931e+01,1.394291530574180982e+01
1.281527522584616818e+01,1.577564965604985758e+01,1.775328840037872880e+01,1.561970400831344286e+01,1.585986145239401779e+01,2.033773193444524807e+01
1.531765912347121983e+01,1.898333681559128294e+01,2.157927726196760432e+01,1.666597536597234708e+01,1.919769354666480510e+01,2.245118832242032880e+01
1.772225053154360452e+01,2.052395972797696899e+01,2.207643766699412780e+01,1.907895351732559419e+01,2.117815391084663190e+01,2.399731709406006885e+01
1.855896663829200577e+01,2.229957990554923342e+01,2.292123461215967950e+01,1.889909185697120719e+01,2.223257108702545892e+01,2.529328576307798926e+01
1.662319912942182754e+01,2.085405069864140870e+01,2.195577082731318441e+01,1.648736081919106411e+01,2.067161078345547054e+01,2.147164024903477753e+01
1.135023329645473744e+01,1.164759085572811337e+01,1.348521749961819616e+01,1.002795667237604782e+01,1.398787145139921329e+01,1.450816691690842042e+01
4.428784467870752195e+00,3.923424788812708730e+00,6.232465918476434830e+00,3.318470844675425635e+00,4.408409125623105496e+00,4.751281508642060558e+00
8.342682714518826259e+00,9.382755312425958394e+00,1.040664028470682823e+01,7.084089347873680609e+00,9.049388160078772003e+00,9.288715156072512968e+00
7.372036100931662617e+00,1.149899537540115446e+01,8.611079571507719521e+00,6.621023700381910793e+00,7.600541832822753641e+00,9.216867341813959058e+00
1.066549123168191215e+01,1.701543768461813499e+01,1.229113319819653860e+01,1.116783829914455772e+01,1.226030326928797187e+01,1.419912388360395461e+01
1.453538128453255318e+01,2.166291533644413292e+01,1.698009702183409431e+01,1.519171991538940958e+01,1.751967830169502705e+01,2.087141131167953034e+01
8.363095029100897193e+00,1.246875416338918363e+01,9.508309177587925376e+00,1.030012739487473183e+01,9.846525804457749942e+00,1.327871447192503496e+01
9.117064721532237570e+00,1.502864972056578097e+01,1.100621064108626967e+01,1.013099326034686243e+01,1.062172001659522458e+01,1.369354897786387504e+01
9.214578088481834683e+00,1.508787876452610988e+01,1.170764239835587261e+01,9.658765041327734835e+00,1.117889575081981057e+01,1.342588070138779699e+01
1.122516276944749691e+01,1.669886292294491170e+01,1.395963957300507907e+01,1.060361056905032839e+01,1.277971553082337763e+01,1.439817164785090142e+01
1.366855074360788969e+01,1.809835586986685740e+01,1.574623633416230462e+01,1.202012812954450460e+01,1.626975544958107989e+01,1.674355160866801739e+01
2.007359042575201968e+01,2.474170279769292335e+01,2.463167905481589415e+01,1.732939107647951360e+01,2.358998917542571405e+01,2.410482974079949869e+01
2.658006110656726051e+01,3.207116834906770464e+01,3.368035227129750098e+01,2.403468734696843612e+01,3.169539989398094093e+01,3.471337916642394106e+01
2.622086649877161690e+01,3.086130136641363109e+01,3.613463576519306031e+01,2.416838763732608797e+01,3.163771624972386221e+01,3.296339429092616058e+01
3.143181262087083994e+01,3.754843966031806701e+01,4.181133135705437098e+01,3.117868870333914089e+01,3.646316048421879685e+01,3.938625600952447314e+01
3.303195525177672209e+01,3.835339279538686696e+01,4.068662966320471952e+01,3.386752289881091116e+01,3.812388914962288311e+01,4.002453224361408957e+01
3.940594517154649878e+01,5.248804715506919649e+01,5.165498290141121629e+01,4.064907400037393614e+01,4.711758071860651853e+01,5.050556705612045505e+01
