0% quantile: LV Network: 1101,25% quantile: LV Network: 1101,50% quantile: LV Network: 1101,75% quantile: LV Network: 1101,100% quantile: LV Network: 1101,0% quantile: LV Network: 1110,25% quantile: LV Network: 1110,50% quantile: LV Network: 1110,75% quantile: LV Network: 1110,100% quantile: LV Network: 1110,0% quantile: LV Network: 1116,25% quantile: LV Network: 1116,50% quantile: LV Network: 1116,75% quantile: LV Network: 1116,100% quantile: LV Network: 1116,0% quantile: LV Network: 1117,25% quantile: LV Network: 1117,50% quantile: LV Network: 1117,75% quantile: LV Network: 1117,100% quantile: LV Network: 1117,0% quantile: LV Network: 1137,25% quantile: LV Network: 1137,50% quantile: LV Network: 1137,75% quantile: LV Network: 1137,100% quantile: LV Network: 1137
1.073813767978005540e+00,1.080266605576534644e+00,1.082902545540343153e+00,1.086222880719675210e+00,1.090648596181684749e+00,1.057184505372698924e+00,1.073946210079717911e+00,1.080299214589019119e+00,1.081827422843883557e+00,1.085495533778143784e+00,1.057783574852787067e+00,1.077356981158440696e+00,1.080180121710030194e+00,1.084307329585574964e+00,1.087491208811099730e+00,1.074412043027948682e+00,1.079438374253117283e+00,1.081532930055810748e+00,1.084565841878540216e+00,1.088663684340040350e+00,1.065928314668765919e+00,1.075586970547628862e+00,1.079491009279458735e+00,1.082008254388100887e+00,1.088694763378313057e+00
1.073814094422800514e+00,1.080266930440924256e+00,1.082902869728198603e+00,1.086223203990169583e+00,1.090648918234289333e+00,1.057184783434237163e+00,1.073946505628318171e+00,1.080299502268607714e+00,1.081827709978265384e+00,1.085495819750819990e+00,1.057783908811155360e+00,1.077357335409773853e+00,1.080180472320261265e+00,1.084307672626357633e+00,1.087491551784917521e+00,1.074412418977513717e+00,1.079438748675422888e+00,1.081533303897619813e+00,1.084566214787928029e+00,1.088664055904222661e+00,1.065928618617420609e+00,1.075587275742988957e+00,1.079491314180953898e+00,1.082008558533674503e+00,1.088695068705183289e+00
1.076944673485447534e+00,1.083927966205676441e+00,1.087013099413649986e+00,1.088253532825548042e+00,1.090516662181621577e+00,1.074620115454632430e+00,1.080283217915413596e+00,1.083018092424397727e+00,1.084311149918498529e+00,1.087255739104427521e+00,1.069583791549214347e+00,1.080489305895044883e+00,1.083408725523304916e+00,1.087040276663532756e+00,1.089691829706940229e+00,1.079145885140990080e+00,1.083148472937756956e+00,1.084876967738284570e+00,1.086983563264098507e+00,1.089134252677484538e+00,1.073676449084357776e+00,1.080173519051937259e+00,1.083065886623096663e+00,1.084960137158131221e+00,1.090183392146738539e+00
1.076945015209333389e+00,1.083928305870677899e+00,1.087013438202668381e+00,1.088253871196613876e+00,1.090516999907763518e+00,1.074620415579426114e+00,1.080283518553152078e+00,1.083018392005257624e+00,1.084311448879102802e+00,1.087256037308613976e+00,1.069584160977981258e+00,1.080489666004377014e+00,1.083409087946794802e+00,1.087040636967129714e+00,1.089692189117086540e+00,1.079146278999377317e+00,1.083148865431846630e+00,1.084877359641401418e+00,1.086983954425603915e+00,1.089134643126699942e+00,1.073676770704330208e+00,1.080173838566517386e+00,1.083066205261574488e+00,1.084960455221860354e+00,1.090183708503418281e+00
1.077017451311242269e+00,1.084573270924437338e+00,1.087146576135772591e+00,1.088631336879045231e+00,1.090681609353071790e+00,1.074130639723808178e+00,1.081069543669723076e+00,1.083204206130881753e+00,1.085354008717432261e+00,1.087653647477864194e+00,1.069771648683158105e+00,1.080963263866802970e+00,1.083629888651608475e+00,1.087484139492762569e+00,1.089833715056422125e+00,1.078577870913954628e+00,1.083455063264822549e+00,1.085697325138927027e+00,1.087420623825915200e+00,1.089546979612502131e+00,1.074840030188407569e+00,1.080541000307678967e+00,1.083756941249912176e+00,1.085341269694510391e+00,1.090342034158202411e+00
1.077017706140630748e+00,1.084573523600571576e+00,1.087146828428131373e+00,1.088631588887301938e+00,1.090681860856073770e+00,1.074130858495893071e+00,1.081069765325703536e+00,1.083204428715629275e+00,1.085354231723352658e+00,1.087653869796624484e+00,1.069771917625330637e+00,1.080963535889209126e+00,1.083630158564458545e+00,1.087484407594496716e+00,1.089833982833984916e+00,1.078578164277856022e+00,1.083455355696611333e+00,1.085697616905156870e+00,1.087420915250395748e+00,1.089547270420856862e+00,1.074840271095325095e+00,1.080541238028956741e+00,1.083757178545429634e+00,1.085341506326184646e+00,1.090342268225508615e+00
1.064898843017215047e+00,1.073421413559965565e+00,1.075539637866730791e+00,1.077307862241798864e+00,1.079311635105158595e+00,1.064088325111100186e+00,1.069688877551776773e+00,1.071518226784480055e+00,1.073560545542665334e+00,1.076363483522479347e+00,1.061410231140735183e+00,1.069649915003705987e+00,1.072259976150814920e+00,1.076203075712371504e+00,1.078739266710990297e+00,1.067898919121520684e+00,1.071948229583212342e+00,1.074335026416104455e+00,1.076003876943278259e+00,1.078000485283735932e+00,1.063298964308896366e+00,1.068527128184382891e+00,1.072417119529640805e+00,1.073805325217433104e+00,1.078508007799001467e+00
1.064898895456546812e+00,1.073421480966540997e+00,1.075539703749810005e+00,1.077307927271908827e+00,1.079311701458021133e+00,1.064088366211747294e+00,1.069688931091174799e+00,1.071518282671372058e+00,1.073560603386197077e+00,1.076363541065561646e+00,1.061410266158902882e+00,1.069649973829786660e+00,1.072260048472793104e+00,1.076203145776557735e+00,1.078739336492457346e+00,1.067898990913333401e+00,1.071948303650336776e+00,1.074335102563639399e+00,1.076003953235804333e+00,1.078000561677354252e+00,1.063299006907129973e+00,1.068527180727598225e+00,1.072417176360275892e+00,1.073805388220741008e+00,1.078508076157035145e+00
1.065720880171800333e+00,1.072947393874886801e+00,1.075206482103044481e+00,1.076827305719511241e+00,1.078818233016587191e+00,1.062735080869524840e+00,1.069735887102484684e+00,1.071803633860089366e+00,1.073058891225041833e+00,1.076674599989275061e+00,1.064914106928233073e+00,1.067835017994176905e+00,1.072189975744746171e+00,1.075686018710215741e+00,1.078287983286060125e+00,1.064281769253540677e+00,1.071591878511552576e+00,1.074048109758614533e+00,1.075699621692850716e+00,1.077788714975378648e+00,1.059318351970093941e+00,1.067793627835871284e+00,1.072084858209693126e+00,1.073756830741246393e+00,1.077923993936811931e+00
1.065720717274327267e+00,1.072947231267824986e+00,1.075206320032895846e+00,1.076827143887264526e+00,1.078818071279914692e+00,1.062734939989924410e+00,1.069735744456000281e+00,1.071803491545890719e+00,1.073058749487116881e+00,1.076674458006513291e+00,1.064913915569340563e+00,1.067834854014216628e+00,1.072189802941495351e+00,1.075685845910651750e+00,1.078287810949356551e+00,1.064281575057810514e+00,1.071591692111207195e+00,1.074047920511016496e+00,1.075699434152666889e+00,1.077788527837916233e+00,1.059318188796868121e+00,1.067793474545590815e+00,1.072084711155883996e+00,1.073756679457532170e+00,1.077923842766726814e+00
