MV voltage: 0.0% quantile,MV voltage: 25.0% quantile,MV voltage: 50.0% quantile,MV voltage: 75.0% quantile,MV voltage: 100.0% quantile
1.019400422767285486e+00,1.039475622423540635e+00,1.042400823811716615e+00,1.043577907029921814e+00,1.045286104280459982e+00
1.019400451252546747e+00,1.039476213158773810e+00,1.042401124133511825e+00,1.043578197779463812e+00,1.045286376220138536e+00
1.019533550365031349e+00,1.041855574109055382e+00,1.044156324662810942e+00,1.045133945113195129e+00,1.046449448741552324e+00
1.019533579615131247e+00,1.041856197228694825e+00,1.044156639073948734e+00,1.045134293647547397e+00,1.046449732873891758e+00
1.019546865518483836e+00,1.042144788521574217e+00,1.044387183907593775e+00,1.045302906738790893e+00,1.046614911699441208e+00
1.019546887228104826e+00,1.042145252919671750e+00,1.044387417850460853e+00,1.045303144272015095e+00,1.046615123373205058e+00
1.019556361275026246e+00,1.031261570951377049e+00,1.033476413744789602e+00,1.034417104275190624e+00,1.035683810077155931e+00
1.019556366963557004e+00,1.031261693535664214e+00,1.033476474936680933e+00,1.034417166143442479e+00,1.035683865618330479e+00
1.019548669380422323e+00,1.031070534882467360e+00,1.033303279513468453e+00,1.034289932301063253e+00,1.035561555930251565e+00
1.019548655295034134e+00,1.031070233760141841e+00,1.033303129050568536e+00,1.034289753212275897e+00,1.035561420326174042e+00
1.019461375133415393e+00,1.029461116785594044e+00,1.032069468152463587e+00,1.033218608672612948e+00,1.034742210383894356e+00
1.019461342713732233e+00,1.029460436438661031e+00,1.032069126615692944e+00,1.033218202786312379e+00,1.034741901925328555e+00
1.019114579558229483e+00,1.034427408934729620e+00,1.038581475582482261e+00,1.040289863153507577e+00,1.042689291410132224e+00
1.019114532346385493e+00,1.034426480005288695e+00,1.038580995383412864e+00,1.040289397921791092e+00,1.042688855336903808e+00
1.018520455430810268e+00,1.024601620440888317e+00,1.031118532877175253e+00,1.033740699440205635e+00,1.037528749747722356e+00
1.018520398903443036e+00,1.024600601850747417e+00,1.031117990423878972e+00,1.033740105492031436e+00,1.037528254830231589e+00
1.018664493901945800e+00,1.026908287749694004e+00,1.032872627268267118e+00,1.035356509165945571e+00,1.038747029471049688e+00
1.018664444773818456e+00,1.026907384070772089e+00,1.032872149030417797e+00,1.035356025462129459e+00,1.038746593516560068e+00
1.019134954634415280e+00,1.034692764789793218e+00,1.038746812154257348e+00,1.040463904504001169e+00,1.042759162677094453e+00
1.019134918371296106e+00,1.034692048011131016e+00,1.038746441312982549e+00,1.040463496317051595e+00,1.042758826803884098e+00
1.019007675808291102e+00,1.032581641226713920e+00,1.037187779034751900e+00,1.039080990417481365e+00,1.041731623645550275e+00
1.019007645546960106e+00,1.032581056353972127e+00,1.037187475059347719e+00,1.039080695693126888e+00,1.041731347344922565e+00
1.019138484535218048e+00,1.034733557383344049e+00,1.038725885897446632e+00,1.040479593818295134e+00,1.042765819054922494e+00
1.019138461237004245e+00,1.034733097868364871e+00,1.038725648542776048e+00,1.040479314524153098e+00,1.042765603545940278e+00
1.019060200822020867e+00,1.033478273389290880e+00,1.037856455730038263e+00,1.039657022275294107e+00,1.042189451949147250e+00
1.019060184246981970e+00,1.033477950186589611e+00,1.037856288155019735e+00,1.039656837678871515e+00,1.042189299701948180e+00
1.018982313525464312e+00,1.032195489000949262e+00,1.036923329678352879e+00,1.038841243514998292e+00,1.041557200041775655e+00
1.018982307349455940e+00,1.032195370065761342e+00,1.036923268052087677e+00,1.038841183523908196e+00,1.041557143987313028e+00
