Prmy. Sub. Util.,Sdry. Sub. Util.1101 (800 kVA),Sdry. Sub. Util.1110 (800 kVA),Sdry. Sub. Util.1116 (800 kVA),Sdry. Sub. Util.1117 (1000 kVA),Sdry. Sub. Util.1137 (800 kVA)
9.849012867555527961e+00,1.212534751007276412e+01,1.499527529846468354e+01,1.305681912807400913e+01,1.206215781749070182e+01,1.397931336549472014e+01
9.848551754686212689e+00,1.212534781980927789e+01,1.499527640575972498e+01,1.305682023668946101e+01,1.206215814508233919e+01,1.397931413400130118e+01
7.866164981025393743e+00,9.714839309092461406e+00,1.179898981355347409e+01,1.039714099250845258e+01,9.751337041229634295e+00,1.114385472342594241e+01
7.865674019869827838e+00,9.714839394664531724e+00,1.179898991105315353e+01,1.039714098752629035e+01,9.751337147126641014e+00,1.114385479688356106e+01
7.615992599570760468e+00,9.398853535715787189e+00,1.136095239365695697e+01,1.017703165610745231e+01,9.446842931398437671e+00,1.074561603507082275e+01
7.615626233414783286e+00,9.398853586044621622e+00,1.136095243125298637e+01,1.017703178640970485e+01,9.446842985532988735e+00,1.074561585077349868e+01
7.490598727634099951e+00,9.219694158028749698e+00,1.112236983300949156e+01,1.000273466748491202e+01,9.316378667906134226e+00,1.061986919143807029e+01
7.490502035931336344e+00,9.219696358531578539e+00,1.112237369114698993e+01,1.000273874977123789e+01,9.316380510268402304e+00,1.061987341400553042e+01
7.660401417920209788e+00,9.441498171460555255e+00,1.123816158928961073e+01,1.011359923306986808e+01,9.530478205782063839e+00,1.109888841448924346e+01
7.660638622377953233e+00,9.441498107974386045e+00,1.123816171606641134e+01,1.011359934422673845e+01,9.530478284537693412e+00,1.109888885690495641e+01
9.024163010342526547e+00,1.105993678629457300e+01,1.320807048931575167e+01,1.198609095780075151e+01,1.128977478189544748e+01,1.302545948110395990e+01
9.024695583896944484e+00,1.105993738909406332e+01,1.320807198070264654e+01,1.198609250034312979e+01,1.128977520524709099e+01,1.302546053968755402e+01
1.402359633769950165e+01,1.724709297493392768e+01,2.040540213963741323e+01,1.881485022087064607e+01,1.759263841819319651e+01,2.009499999080142985e+01
1.402430761217192057e+01,1.724709153226292102e+01,2.040539952408985869e+01,1.881484759995525380e+01,1.759263681111666955e+01,2.009499747660050062e+01
2.190753591876718076e+01,2.698349683302601676e+01,3.218850168583767157e+01,2.931362171046172094e+01,2.699639787123350132e+01,3.185613057684300031e+01
2.190828943016414954e+01,2.698349577166329638e+01,3.218850187818602393e+01,2.931362199790967793e+01,2.699639725336387386e+01,3.185613473899506687e+01
2.007496427294880093e+01,2.473364538809324742e+01,2.886757604472533956e+01,2.664789754082207196e+01,2.532010749505254310e+01,2.927155274572647059e+01
2.007563772443500127e+01,2.473364421025839732e+01,2.886757476124272159e+01,2.664789596561855944e+01,2.532010596817739057e+01,2.927155009015507048e+01
1.382202213681038572e+01,1.704410812210864279e+01,1.994404577394683997e+01,1.841010360674169988e+01,1.724353527932845154e+01,2.017508626412829287e+01
1.382257138026281140e+01,1.704410731514678190e+01,1.994404288766839528e+01,1.841010162000948114e+01,1.724353407624854384e+01,2.017508300209512839e+01
1.552037894230259596e+01,1.891305255503871763e+01,2.207171432256402710e+01,2.086187781930418339e+01,1.961916801888135353e+01,2.280202585475568000e+01
1.552082374765921813e+01,1.891305217356065071e+01,2.207171414696012945e+01,2.086187744691602219e+01,1.961916777492202968e+01,2.280202535837957001e+01
1.379419085969342440e+01,1.688780930515130407e+01,2.004107846023154949e+01,1.846511346762629913e+01,1.704252819718885448e+01,2.022345447159964849e+01
1.379454308710414701e+01,1.688780899222082610e+01,2.004107702609328356e+01,1.846511262580316171e+01,1.704252769777561838e+01,2.022345380797299441e+01
1.479935496884663415e+01,1.814314965158891013e+01,2.129471328244223471e+01,2.002039289723704485e+01,1.854959200957020826e+01,2.138737821707752573e+01
1.479960162397770596e+01,1.814314997778046390e+01,2.129471421003766807e+01,2.002039317041881716e+01,1.854959256090435105e+01,2.138737881639790572e+01
1.583031776362749454e+01,1.962119934895046569e+01,2.292187305839125955e+01,2.114952277324339391e+01,1.973097874571477206e+01,2.293253961208868219e+01
1.583040799296832724e+01,1.962119957701440498e+01,2.292187402271897056e+01,2.114952362251083784e+01,1.973097932036195346e+01,2.293254029762852397e+01
1.678005941852983796e+01,2.082638277296456764e+01,2.491925782410768520e+01,2.209297220177435150e+01,2.104481030996186419e+01,2.383600293418894722e+01
1.677993919029229630e+01,2.082638362413410960e+01,2.491925920102371350e+01,2.209297375975985389e+01,2.104481121962872692e+01,2.383600544585708292e+01
1.608474256034770633e+01,1.984944695231726897e+01,2.434683072122328795e+01,2.105774369222380926e+01,1.993866812874988170e+01,2.285464893354599170e+01
1.608440137473828457e+01,1.984944731248517513e+01,2.434683204623972586e+01,2.105774645708384085e+01,1.993866848564051963e+01,2.285464936699457184e+01
2.529227002784079659e+01,3.121875769452914184e+01,3.822429615206872455e+01,3.369398124640715508e+01,3.078863439088497600e+01,3.632529644620442610e+01
2.529175794392783061e+01,3.121875935125554236e+01,3.822429932560547172e+01,3.369398549141552479e+01,3.078863627640605216e+01,3.632529918054473939e+01
3.435601403434871770e+01,4.220805150386149762e+01,5.107842663515204862e+01,4.575009809680172879e+01,4.283078464876845004e+01,4.883146443518564439e+01
3.435544479279162999e+01,4.220805376979681256e+01,5.107842745976075349e+01,4.575009836595339152e+01,4.283078745051599867e+01,4.883146554394193117e+01
3.790601382588261714e+01,4.633152485399673282e+01,5.650908722319215371e+01,5.076487593061222725e+01,4.676978509960245134e+01,5.425219062798168324e+01
3.790552169551754247e+01,4.633152950512142354e+01,5.650909808652799882e+01,5.076488197770537880e+01,4.676979046052436928e+01,5.425220492076732626e+01
3.330637176022577250e+01,4.083234040294435374e+01,5.024503261290163181e+01,4.387174372855432125e+01,4.109062925510479403e+01,4.767439412680441535e+01
3.330603196971459568e+01,4.083234182526442169e+01,5.024503312858750803e+01,4.387174561204724910e+01,4.109063102554588198e+01,4.767439382360540634e+01
2.888439531241058233e+01,3.546999171165542464e+01,4.290434703990486298e+01,3.821725949945240330e+01,3.618910522987507505e+01,4.107439224910574183e+01
2.888418216894603319e+01,3.546999239712614127e+01,4.290434718561635918e+01,3.821725993725101489e+01,3.618910602011961686e+01,4.107439243421078601e+01
2.539971224469762134e+01,3.121624853797531784e+01,3.812006663078699376e+01,3.356396765711461683e+01,3.130015195486063462e+01,3.644703393177595530e+01
2.539952476615352595e+01,3.121624867402587356e+01,3.812006605718574548e+01,3.356396816117776183e+01,3.130015221282103610e+01,3.644703139090980670e+01
1.980357198634551708e+01,2.430160816422277037e+01,2.967434207545467117e+01,2.625534248018160355e+01,2.447529660779871463e+01,2.841841726674955382e+01
1.980330003676442985e+01,2.430160889363237686e+01,2.967434353105755207e+01,2.625534386293648836e+01,2.447529742998655422e+01,2.841841932030274265e+01
1.350788248301821604e+01,1.641865462749892046e+01,2.048930018378199591e+01,1.784393618753801647e+01,1.652664706986079324e+01,1.958818163638747833e+01
1.350747554092987457e+01,1.641865428512158331e+01,2.048929882668192803e+01,1.784393472335290198e+01,1.652664678329191972e+01,1.958817804704359844e+01
